service,metric,mechanism,mape_pct,rmse,r2,f1
front-end,CPU,linear_pos,3.380580246677304,0.18165112857209434,-2.501741063323786,0.3333333333333333
front-end,CPU,log_linear,3.4896646112424468,0.18123973183344116,-2.4858977977173393,0.3333333333333333
catalogue,CPU,linear_pos,131.4867014208239,0.27552698971088874,-12.720704744504031,1.0
catalogue,CPU,log_linear,50.177623439462124,0.126780958761636,-1.9050672317777564,1.0
user,CPU,linear_pos,4.856964136810691,0.04994168930797796,-1.8653627467441014,0.5
user,CPU,log_linear,5.9567520798870675,0.0599099281890327,-3.1233552300351306,0.4
carts,CPU,linear_pos,24.706572140917032,0.5478226174903911,-3.450320408416335,1.0
carts,CPU,log_linear,20.08906736318341,0.443422252852914,-1.9157234573917865,1.0
orders,CPU,linear_pos,14.142344733101778,0.6892871116986564,-0.36655344962566105,0.0
orders,CPU,log_linear,13.652547029119546,0.6520854504124539,-0.22302497828741652,0.0
payment,CPU,linear_pos,1.608968065690091,0.002335214433145009,-0.3642721770872084,1.0
payment,CPU,log_linear,2.1898468394092476,0.002553076894946445,-0.6307045405239824,1.0
shipping,CPU,linear_pos,11.683755871982504,0.10198058139544619,-0.5820282803103896,1.0
shipping,CPU,log_linear,11.639267692634766,0.10402066151948057,-0.6459570491733204,1.0
front-end,Memory,linear_pos,2.0847827175682827,2417508.746117328,-12.572959504742162,1.0
front-end,Memory,log_linear,2.300474490320924,2485517.263097541,-13.347360579561402,1.0
catalogue,Memory,linear_pos,0.7638162034431932,56044.0294947262,-0.752671802868971,1.0
catalogue,Memory,log_linear,0.7686883702673397,64575.05821058234,-1.326866711150382,1.0
user,Memory,linear_pos,2.0347847826202967,189141.86408742107,-1.3883109008725727,1.0
user,Memory,log_linear,1.7630854771361282,179469.19296663062,-1.1502816602474706,1.0
carts,Memory,linear_pos,1.0618524471504298,2585375.415025477,-0.21537630894140358,1.0
carts,Memory,log_linear,1.2815216774374343,3038319.0219014045,-0.6785345400015013,1.0
orders,Memory,linear_pos,0.8023417392256454,2755137.3588933367,0.25517401403912554,1.0
orders,Memory,log_linear,1.0074961496788373,3700894.180886649,-0.34394545788782893,1.0
payment,Memory,linear_pos,1.0422504774157082,61066.32446512381,-1.299806729616694,1.0
payment,Memory,log_linear,1.0743893770044985,71353.12483298586,-2.139885225195795,1.0
shipping,Memory,linear_pos,0.5009536820061732,1687707.9549679144,-1.1738165689498903,1.0
shipping,Memory,log_linear,0.4849343371285235,1713576.7460891148,-1.240966785804389,1.0
front-end,Socket,linear_pos,48.03280965596153,3.7372373953903706,-1141.4809150087947,1.0
front-end,Socket,log_linear,48.482323660461304,3.7823975528660707,-1169.2588391549564,1.0
catalogue,Socket,linear_pos,3.71219314345465,0.3659496086939447,-0.23145168895952573,1.0
catalogue,Socket,log_linear,3.6822290650874034,0.33390943155019404,-0.02525566343336072,1.0
user,Socket,linear_pos,4.379952215203371,0.8732022996325838,-0.050115029035130876,1.0
user,Socket,log_linear,4.141031212743768,0.8069780545777084,0.10312776118772604,1.0
carts,Socket,linear_pos,49.754842025249005,6.221928928848186,-74.16588975282744,1.0
carts,Socket,log_linear,45.44531857837206,5.712174806236934,-62.35394883432344,1.0
orders,Socket,linear_pos,2.8072972098436946,0.5437341241021124,-0.22653768700063126,1.0
orders,Socket,log_linear,2.254070073390058,0.4670024154974072,0.0952137927517045,1.0
payment,Socket,linear_pos,4.528293922076428,0.25132704630269703,-5.776580062124624,1.0
payment,Socket,log_linear,4.664149526273933,0.25378418771029965,-5.909732553703116,1.0
shipping,Socket,linear_pos,1.435906929972783,0.09957680552176995,-0.5080851066584862,1.0
shipping,Socket,log_linear,1.4115939022046666,0.0915589117635299,-0.2750015590940864,1.0
