target,parent,kind,coef,parent_std,effective_scale,n_parents,n_backpressure,r2,target_std
ts-order-service_cpu,ts-order-service_workload,workload,0.017420433208019774,1.9019651747407538,0.03313305729055096,5,4,0.3090604450105887,2.4504847387831346
ts-order-service_cpu,ts-preserve-service_cpu,backpressure,0.0,0.49821566743310847,0.0,5,4,0.3090604450105887,2.4504847387831346
ts-order-service_cpu,ts-seat-service_cpu,backpressure,0.14478479067209032,2.3519431898441123,0.3405256024142282,5,4,0.3090604450105887,2.4504847387831346
ts-order-service_cpu,ts-security-service_cpu,backpressure,0.30628579439192394,0.5139460975773336,0.15741438877110286,5,4,0.3090604450105887,2.4504847387831346
ts-order-service_cpu,ts-travel-service_cpu,backpressure,0.30470985901901637,3.3978961303264255,1.0353724508330264,5,4,0.3090604450105887,2.4504847387831346
ts-travel-service_cpu,ts-admin-travel-service_cpu,backpressure,0.9030889322985424,0.549831334111042,0.496546592466624,4,3,0.4360102093139424,3.3978961303264255
ts-travel-service_cpu,ts-food-service_cpu,backpressure,1.705597680584089,0.9501451124083826,1.620565299942046,4,3,0.4360102093139424,3.3978961303264255
ts-travel-service_cpu,ts-preserve-service_cpu,backpressure,1.0620233962182724,0.49821566743310847,0.5291166951764632,4,3,0.4360102093139424,3.3978961303264255
ts-travel-service_cpu,ts-travel-service_workload,workload,0.09416048344861447,2.7921790726494273,0.2629129313557741,4,3,0.4360102093139424,3.3978961303264255
ts-seat-service_cpu,ts-preserve-other-service_cpu,backpressure,0.1449432014591456,0.4927596373778198,0.07142215939138886,5,4,0.5981806603564197,2.3519431898441123
ts-seat-service_cpu,ts-preserve-service_cpu,backpressure,0.3701605666751684,0.49821566743310847,0.18441979378348666,5,4,0.5981806603564197,2.3519431898441123
ts-seat-service_cpu,ts-seat-service_workload,workload,0.02234163842870856,1.367011125696132,0.030541268298324847,5,4,0.5981806603564197,2.3519431898441123
ts-seat-service_cpu,ts-travel-service_cpu,backpressure,0.2660923309466157,3.3978961303264255,0.9041541016330441,5,4,0.5981806603564197,2.3519431898441123
ts-seat-service_cpu,ts-travel2-service_cpu,backpressure,0.2686852664006187,3.2764724368915448,0.880339869560489,5,4,0.5981806603564197,2.3519431898441123
ts-user-service_cpu,ts-preserve-other-service_cpu,backpressure,0.23131554836635979,0.4927596373778198,0.11398296573285899,3,2,0.15005660897309203,0.4754416419449282
ts-user-service_cpu,ts-preserve-service_cpu,backpressure,0.23927973271789207,0.49821566743310847,0.1192129117392604,3,2,0.15005660897309203,0.4754416419449282
ts-user-service_cpu,ts-user-service_workload,workload,0.18781735237145353,0.1497816816340245,0.02813159887824645,3,2,0.15005660897309203,0.4754416419449282
