mode,shuffled,model,skill,n_train,n_test,msinstanceid
ood,False,constant,0.0,201,99,00cbb506c6a0e42f6aebd4acf65c7fb8d966189776ac1d081f43630ec4bf92e7
ood,False,base,0.17752916726522439,201,99,00cbb506c6a0e42f6aebd4acf65c7fb8d966189776ac1d081f43630ec4bf92e7
ood,False,+node,0.17203772960216757,201,99,00cbb506c6a0e42f6aebd4acf65c7fb8d966189776ac1d081f43630ec4bf92e7
indist,False,constant,0.0,209,90,00f23c15a808c57a7f8b30af82caa6d6b0bd40e2614e9e6e19626998d52e1815
indist,False,base,0.25987896166412394,209,90,00f23c15a808c57a7f8b30af82caa6d6b0bd40e2614e9e6e19626998d52e1815
indist,False,+node,0.3339339635965738,209,90,00f23c15a808c57a7f8b30af82caa6d6b0bd40e2614e9e6e19626998d52e1815
ood,False,constant,0.0,200,99,00f23c15a808c57a7f8b30af82caa6d6b0bd40e2614e9e6e19626998d52e1815
ood,False,base,-1.0494665409557133,200,99,00f23c15a808c57a7f8b30af82caa6d6b0bd40e2614e9e6e19626998d52e1815
ood,False,+node,-0.637412502537396,200,99,00f23c15a808c57a7f8b30af82caa6d6b0bd40e2614e9e6e19626998d52e1815
indist,False,constant,0.0,210,90,0100c114c1a09904a0a9c6c747b3653babbc34e61e463958550350ee15f5dc1e
indist,False,base,0.008877386497440187,210,90,0100c114c1a09904a0a9c6c747b3653babbc34e61e463958550350ee15f5dc1e
indist,False,+node,0.009360213718056731,210,90,0100c114c1a09904a0a9c6c747b3653babbc34e61e463958550350ee15f5dc1e
ood,False,constant,0.0,201,99,0100c114c1a09904a0a9c6c747b3653babbc34e61e463958550350ee15f5dc1e
ood,False,base,0.01051246003279982,201,99,0100c114c1a09904a0a9c6c747b3653babbc34e61e463958550350ee15f5dc1e
ood,False,+node,0.009823324632159847,201,99,0100c114c1a09904a0a9c6c747b3653babbc34e61e463958550350ee15f5dc1e
indist,False,constant,0.0,210,90,014e5c84a5e1791e2a16378bbf08534df7088ad3c27454285dd48959588adc2b
indist,False,base,-0.0006286569266948927,210,90,014e5c84a5e1791e2a16378bbf08534df7088ad3c27454285dd48959588adc2b
indist,False,+node,-0.06019935852835201,210,90,014e5c84a5e1791e2a16378bbf08534df7088ad3c27454285dd48959588adc2b
ood,False,constant,0.0,201,99,014e5c84a5e1791e2a16378bbf08534df7088ad3c27454285dd48959588adc2b
ood,False,base,-340.3259353228729,201,99,014e5c84a5e1791e2a16378bbf08534df7088ad3c27454285dd48959588adc2b
ood,False,+node,-379.00659870337535,201,99,014e5c84a5e1791e2a16378bbf08534df7088ad3c27454285dd48959588adc2b
indist,False,constant,0.0,210,90,0153053820b7c89d5b73918c9daf24968de3698b0509f6cf26483e08343353c7
indist,False,base,0.4535820290554661,210,90,0153053820b7c89d5b73918c9daf24968de3698b0509f6cf26483e08343353c7
indist,False,+node,0.4660067701245515,210,90,0153053820b7c89d5b73918c9daf24968de3698b0509f6cf26483e08343353c7
ood,False,constant,0.0,201,99,0153053820b7c89d5b73918c9daf24968de3698b0509f6cf26483e08343353c7
ood,False,base,0.6712518406931014,201,99,0153053820b7c89d5b73918c9daf24968de3698b0509f6cf26483e08343353c7
ood,False,+node,0.6647629057901163,201,99,0153053820b7c89d5b73918c9daf24968de3698b0509f6cf26483e08343353c7
indist,False,constant,0.0,210,90,01565009a723f29c2329f67cdda0f8c4bbf331abed9503b4dbabf2f7f03fcc8a
indist,False,base,0.24548304168975466,210,90,01565009a723f29c2329f67cdda0f8c4bbf331abed9503b4dbabf2f7f03fcc8a
indist,False,+node,0.2627302951904794,210,90,01565009a723f29c2329f67cdda0f8c4bbf331abed9503b4dbabf2f7f03fcc8a
ood,False,constant,0.0,201,99,01565009a723f29c2329f67cdda0f8c4bbf331abed9503b4dbabf2f7f03fcc8a
ood,False,base,0.2809849945752908,201,99,01565009a723f29c2329f67cdda0f8c4bbf331abed9503b4dbabf2f7f03fcc8a
ood,False,+node,0.2911657716190533,201,99,01565009a723f29c2329f67cdda0f8c4bbf331abed9503b4dbabf2f7f03fcc8a
indist,False,constant,0.0,210,90,01620bcf7718e9ee41c0566d4459f88322f71f97120b3666bf87313d1c95c8be
indist,False,base,0.42884652805448953,210,90,01620bcf7718e9ee41c0566d4459f88322f71f97120b3666bf87313d1c95c8be
indist,False,+node,0.4601393663278962,210,90,01620bcf7718e9ee41c0566d4459f88322f71f97120b3666bf87313d1c95c8be
ood,False,constant,0.0,201,99,01620bcf7718e9ee41c0566d4459f88322f71f97120b3666bf87313d1c95c8be
ood,False,base,0.733787109704459,201,99,01620bcf7718e9ee41c0566d4459f88322f71f97120b3666bf87313d1c95c8be
ood,False,+node,0.7488659171145082,201,99,01620bcf7718e9ee41c0566d4459f88322f71f97120b3666bf87313d1c95c8be
indist,False,constant,0.0,210,90,019602993572f682509c6941ad5ed6c42108f738c9ea25a3c3559c9cb5edb10d
indist,False,base,0.260624806724144,210,90,019602993572f682509c6941ad5ed6c42108f738c9ea25a3c3559c9cb5edb10d
indist,False,+node,0.30398737991076685,210,90,019602993572f682509c6941ad5ed6c42108f738c9ea25a3c3559c9cb5edb10d
ood,False,constant,0.0,201,99,019602993572f682509c6941ad5ed6c42108f738c9ea25a3c3559c9cb5edb10d
ood,False,base,0.3307148931561581,201,99,019602993572f682509c6941ad5ed6c42108f738c9ea25a3c3559c9cb5edb10d
ood,False,+node,0.3460348090488984,201,99,019602993572f682509c6941ad5ed6c42108f738c9ea25a3c3559c9cb5edb10d
indist,False,constant,0.0,207,90,019bb60de27fcdd3257d90fb37d54bb886f70e0f798fb8142085bd623a3509ed
indist,False,base,0.0003426260700400974,207,90,019bb60de27fcdd3257d90fb37d54bb886f70e0f798fb8142085bd623a3509ed
indist,False,+node,0.06561007093085336,207,90,019bb60de27fcdd3257d90fb37d54bb886f70e0f798fb8142085bd623a3509ed
ood,False,constant,0.0,198,99,019bb60de27fcdd3257d90fb37d54bb886f70e0f798fb8142085bd623a3509ed
ood,False,base,-3.8674471584572006,198,99,019bb60de27fcdd3257d90fb37d54bb886f70e0f798fb8142085bd623a3509ed
ood,False,+node,-6.278290761898222,198,99,019bb60de27fcdd3257d90fb37d54bb886f70e0f798fb8142085bd623a3509ed
indist,False,constant,0.0,210,90,01b11923469733ebba377c9c99195ad33ac686cfaeeecd2f655ee25f93256247
indist,False,base,0.07091946652253378,210,90,01b11923469733ebba377c9c99195ad33ac686cfaeeecd2f655ee25f93256247
indist,False,+node,0.14619002064496134,210,90,01b11923469733ebba377c9c99195ad33ac686cfaeeecd2f655ee25f93256247
ood,False,constant,0.0,201,99,01b11923469733ebba377c9c99195ad33ac686cfaeeecd2f655ee25f93256247
ood,False,base,0.06389928981787152,201,99,01b11923469733ebba377c9c99195ad33ac686cfaeeecd2f655ee25f93256247
ood,False,+node,-1.5667359305592217,201,99,01b11923469733ebba377c9c99195ad33ac686cfaeeecd2f655ee25f93256247
indist,False,constant,0.0,210,90,01bc8beee5f6858517ba7fb57603597d3bb582803907b2f58216fb23c1913576
indist,False,base,0.015597528727289811,210,90,01bc8beee5f6858517ba7fb57603597d3bb582803907b2f58216fb23c1913576
indist,False,+node,0.02031943523210389,210,90,01bc8beee5f6858517ba7fb57603597d3bb582803907b2f58216fb23c1913576
ood,False,constant,0.0,201,99,01bc8beee5f6858517ba7fb57603597d3bb582803907b2f58216fb23c1913576
ood,False,base,-38.27623516121028,201,99,01bc8beee5f6858517ba7fb57603597d3bb582803907b2f58216fb23c1913576
ood,False,+node,-37.006400600391984,201,99,01bc8beee5f6858517ba7fb57603597d3bb582803907b2f58216fb23c1913576
indist,False,constant,0.0,210,90,01cb9b6a046cb56b8153559e24735b23fdbf13f9851817ee42b0a17e8213e72b
indist,False,base,-0.009321345260361547,210,90,01cb9b6a046cb56b8153559e24735b23fdbf13f9851817ee42b0a17e8213e72b
indist,False,+node,0.02998631150044273,210,90,01cb9b6a046cb56b8153559e24735b23fdbf13f9851817ee42b0a17e8213e72b
ood,False,constant,0.0,201,99,01cb9b6a046cb56b8153559e24735b23fdbf13f9851817ee42b0a17e8213e72b
ood,False,base,0.18426995190949647,201,99,01cb9b6a046cb56b8153559e24735b23fdbf13f9851817ee42b0a17e8213e72b
ood,False,+node,0.12281613348489606,201,99,01cb9b6a046cb56b8153559e24735b23fdbf13f9851817ee42b0a17e8213e72b
indist,False,constant,0.0,210,90,01cd5cca2e6cf8f03776e3f925fbfea3cf686d5cd5d3df6323109561a99a894b
indist,False,base,0.10554907197272045,210,90,01cd5cca2e6cf8f03776e3f925fbfea3cf686d5cd5d3df6323109561a99a894b
indist,False,+node,0.10118318639617341,210,90,01cd5cca2e6cf8f03776e3f925fbfea3cf686d5cd5d3df6323109561a99a894b
ood,False,constant,0.0,201,99,01cd5cca2e6cf8f03776e3f925fbfea3cf686d5cd5d3df6323109561a99a894b
ood,False,base,0.3654987720161148,201,99,01cd5cca2e6cf8f03776e3f925fbfea3cf686d5cd5d3df6323109561a99a894b
ood,False,+node,0.35241270901966315,201,99,01cd5cca2e6cf8f03776e3f925fbfea3cf686d5cd5d3df6323109561a99a894b
indist,False,constant,0.0,210,90,01e30a1a973ff4fab98bcfbda667530696b785364630ac3df7ec9167fa8d0e24
indist,False,base,0.01400990752827369,210,90,01e30a1a973ff4fab98bcfbda667530696b785364630ac3df7ec9167fa8d0e24
indist,False,+node,0.013774482590405479,210,90,01e30a1a973ff4fab98bcfbda667530696b785364630ac3df7ec9167fa8d0e24
ood,False,constant,0.0,201,99,01e30a1a973ff4fab98bcfbda667530696b785364630ac3df7ec9167fa8d0e24
ood,False,base,-0.26492722972030247,201,99,01e30a1a973ff4fab98bcfbda667530696b785364630ac3df7ec9167fa8d0e24
ood,False,+node,-0.2888860647907434,201,99,01e30a1a973ff4fab98bcfbda667530696b785364630ac3df7ec9167fa8d0e24
indist,False,constant,0.0,210,90,01e475cc60ac3822122695af526624f66f06ae4c1f4199e6b9453c20ac3f222e
indist,False,base,0.5398903931064837,210,90,01e475cc60ac3822122695af526624f66f06ae4c1f4199e6b9453c20ac3f222e
indist,False,+node,0.5404982189425707,210,90,01e475cc60ac3822122695af526624f66f06ae4c1f4199e6b9453c20ac3f222e
ood,False,constant,0.0,201,99,01e475cc60ac3822122695af526624f66f06ae4c1f4199e6b9453c20ac3f222e
ood,False,base,0.7219250813991789,201,99,01e475cc60ac3822122695af526624f66f06ae4c1f4199e6b9453c20ac3f222e
ood,False,+node,0.7170790449318007,201,99,01e475cc60ac3822122695af526624f66f06ae4c1f4199e6b9453c20ac3f222e
indist,False,constant,0.0,210,90,01e724aabe7c6f1e3a8ff802d08a52d96abafdb62df8b0ad737ff4ad962b6b8c
