service,metric,mechanism,mape_pct,mae,rmse,r2,f1_threshold_cross,n_test_buckets
front-end,CPU,auto_gcm,3.1595802290603583,0.14171068583943336,0.16781508049055627,-1.9886138124015225,0.4,8
front-end,CPU,linear_pos,3.395991915123686,0.1526545473176012,0.17993669043369404,-2.435953554829765,0.3333333333333333,8
front-end,CPU,hgbr_mono,2.4923340847156243,0.11124046361954876,0.1391243997314338,-1.0540661950365235,0.0,8
catalogue,CPU,auto_gcm,199.97985883062833,0.3840883977077287,0.43866378781742843,-33.77856775619143,1.0,7
catalogue,CPU,linear_pos,101.50929322241215,0.19599854170135586,0.21840715018026804,-7.621480067928452,1.0,7
catalogue,CPU,hgbr_mono,151.4307153720826,0.2994020143674186,0.3082540097565924,-16.173768066253135,1.0,7
user,CPU,auto_gcm,5.591974313340624,0.05375762054956851,0.07260479469130023,-5.055970577531387,0.0,8
user,CPU,linear_pos,5.539691732408289,0.051653448800132604,0.05528018630326459,-2.510687307884966,0.5,8
user,CPU,hgbr_mono,2.743647069642008,0.025992456015038523,0.036064501024721696,-0.4942147142616389,0.0,8
carts,CPU,auto_gcm,23.849486428884862,0.5035703316061593,0.5205943933391106,-3.018929017499498,1.0,8
carts,CPU,linear_pos,25.605209915938037,0.5437193557787506,0.5825843845011213,-4.033024470986944,1.0,8
carts,CPU,hgbr_mono,18.67909032658143,0.38474634265209995,0.42303544068926136,-1.6537797038824755,1.0,8
orders,CPU,auto_gcm,17.105800931397045,0.4852528931613299,0.7897880218343005,-0.794103081647278,0.0,7
orders,CPU,linear_pos,14.771186864097952,0.40198160877893524,0.6425742664929489,-0.1876075909117283,0.0,7
orders,CPU,hgbr_mono,16.064054483255674,0.41414173487972455,0.5810434217369669,0.028945771050719493,0.0,7
payment,CPU,auto_gcm,11.316636905362866,0.0099137529833057,0.010869014059822667,-28.554784083923465,1.0,7
payment,CPU,linear_pos,1.745485905953024,0.0015521329794084668,0.002118803365831854,-0.12312681981049067,1.0,7
payment,CPU,hgbr_mono,1.9234258480228417,0.0017071543199794323,0.002127173886617488,-0.13201837302724173,1.0,7
shipping,CPU,auto_gcm,8.227590071070837,0.05585810405225887,0.0686268709813443,0.28358004975799256,1.0,8
shipping,CPU,linear_pos,13.873559748861775,0.0958475576804787,0.11928820708527758,-1.164583271683839,1.0,8
shipping,CPU,hgbr_mono,9.144545039360521,0.06305602171004616,0.08218905697389897,-0.0275601900982978,1.0,8
front-end,Memory,auto_gcm,9.543251728181259,9860344.015093196,11178695.367030043,-289.21555626784215,0.0,8
front-end,Memory,linear_pos,2.0261921672253025,2088854.868343193,2417874.406287494,-12.577065769951052,1.0,8
front-end,Memory,hgbr_mono,4.570030038426151,4721720.0321361795,4748915.319460944,-51.37539320936542,1.0,8
catalogue,Memory,auto_gcm,6.249447705560867,383166.81228099164,447061.2679643057,-110.52596375756801,0.0,7
catalogue,Memory,linear_pos,1.134869392466198,69316.91656670613,82305.57088255652,-2.780074480393098,1.0,7
catalogue,Memory,hgbr_mono,0.9754516874017152,59487.68685242015,78173.61117799173,-2.4100617438671788,1.0,7
user,Memory,auto_gcm,2.8437738177248257,227761.73027042614,246116.26140728203,-3.0438603545751244,1.0,8
user,Memory,linear_pos,1.5179109257069052,120655.82721560856,138292.7671165019,-0.2767752758510209,1.0,8
user,Memory,hgbr_mono,2.0114773043633485,159949.1499104515,180133.87701193316,-1.1662387679419983,1.0,8
carts,Memory,auto_gcm,1.133107450042937,2420427.7935693786,2972121.1785541587,-0.6061886841752131,1.0,8
carts,Memory,linear_pos,1.4400001553252582,3051182.9165915214,3488279.3426567614,-1.2125141116431055,1.0,8
carts,Memory,hgbr_mono,2.7530406468887563,5825191.721097652,6292251.350610673,-6.199057832749992,1.0,8
orders,Memory,auto_gcm,1.3213421089919974,4405116.703282245,6224047.408025259,-2.801141989205325,1.0,7
orders,Memory,linear_pos,0.8700651364966882,2875195.8589461786,3383176.1664943276,-0.12309769024904593,1.0,7
orders,Memory,hgbr_mono,0.9374742300977649,3082768.3736873353,3588232.2535445876,-0.26336662574529446,1.0,7
payment,Memory,auto_gcm,0.9102660545123856,41433.71384627798,52150.219397314206,-0.6772587194858977,1.0,7
payment,Memory,linear_pos,0.6605153673060304,30061.78730039139,40299.26224214044,-0.001571526997772521,1.0,7
payment,Memory,hgbr_mono,0.9863923753451989,45034.39194161472,52787.79962356592,-0.7185212139990718,1.0,7
shipping,Memory,auto_gcm,1.6185630931687882,4899718.449527323,5716201.3870849535,-23.936950416580338,1.0,8
shipping,Memory,linear_pos,0.5569406562695883,1682255.2886183336,1753600.8858696935,-1.3468742082972311,1.0,8
shipping,Memory,hgbr_mono,0.4496738051816935,1358226.872618325,1600590.8603202826,-0.9551899899819498,1.0,8
front-end,Socket,auto_gcm,33.516994468402814,2.603229157438496,2.730150939256485,-608.7066033206562,1.0,8
front-end,Socket,linear_pos,46.0668245305753,3.577270842561504,3.609891671966457,-1064.9477601195397,1.0,8
front-end,Socket,hgbr_mono,49.10754830070256,3.8160208425615036,3.834745640612381,-1201.8755770698044,1.0,8
catalogue,Socket,auto_gcm,6.742116929825963,0.4471584265560534,0.4752761378422122,-1.077145049997053,0.0,7
catalogue,Socket,linear_pos,3.316276284815716,0.22539177149644907,0.3224697257660643,0.043791277383222194,1.0,7
catalogue,Socket,hgbr_mono,3.157778082571506,0.21556444159364738,0.30676257717289757,0.13467438458451075,1.0,7
user,Socket,auto_gcm,4.517372692770581,0.8423168912248316,0.9456593796802476,-0.23161962814195203,1.0,8
user,Socket,linear_pos,4.785490414467959,0.8835668912248313,0.952017970675006,-0.2482380736460259,1.0,8
user,Socket,hgbr_mono,4.735237135071848,0.8710668912248316,0.9610605925743406,-0.2720631504755402,1.0,8
carts,Socket,auto_gcm,48.7726878328124,5.956846533219015,6.709395892179409,-86.40525568511502,1.0,8
carts,Socket,linear_pos,47.85222540591402,5.928653466780984,5.968633388109957,-68.17043687850277,1.0,8
carts,Socket,hgbr_mono,49.93306024831991,6.210403466780985,6.215810931420891,-74.01814180076008,1.0,8
orders,Socket,auto_gcm,3.75507606768593,0.6372181108949049,0.7906290328269665,-1.5933028296177514,1.0,7
