mode,shuffled,n_train,n_test,model,skill,mape,parent,child,n_calls
ood,False,201,99,constant,0.0,6.448124397690683,4d980b8ae1f1,719faf5996d9,13723
ood,False,201,99,uniform_delta,0.9795065787208393,0.770680178279812,4d980b8ae1f1,719faf5996d9,13723
ood,False,201,99,graph_LinearReg,0.9800152666097275,0.7259629964828491,4d980b8ae1f1,719faf5996d9,13723
ood,False,201,99,graph_NNLS,0.9800152704600067,0.7259607315063477,4d980b8ae1f1,719faf5996d9,13723
indist,False,210,90,constant,0.0,9.12422667515001,6f83eed12375,d03bb9786260,12590
indist,False,210,90,uniform_delta,0.020362878497535597,7.887442458720923,6f83eed12375,d03bb9786260,12590
indist,False,210,90,graph_LinearReg,0.10368432722731713,8.062923431396484,6f83eed12375,d03bb9786260,12590
indist,False,210,90,graph_NNLS,0.10368432722731713,8.062923431396484,6f83eed12375,d03bb9786260,12590
ood,False,201,99,constant,0.0,13.445587289166202,6f83eed12375,d03bb9786260,12590
ood,False,201,99,uniform_delta,0.7458637833986463,4.3011119697625855,6f83eed12375,d03bb9786260,12590
ood,False,201,99,graph_LinearReg,-0.9787216076058898,18.994916915893555,6f83eed12375,d03bb9786260,12590
ood,False,201,99,graph_NNLS,-1.0360526436770101e-08,13.445589065551758,6f83eed12375,d03bb9786260,12590
indist,False,210,90,constant,0.0,10.087787423230097,adc1fdeea203,6da93e1b8565,12046
indist,False,210,90,uniform_delta,-0.05823006901889749,9.160257414209836,adc1fdeea203,6da93e1b8565,12046
indist,False,210,90,graph_LinearReg,0.10322943134973261,9.211453437805176,adc1fdeea203,6da93e1b8565,12046
indist,False,210,90,graph_NNLS,0.10322943134973261,9.211453437805176,adc1fdeea203,6da93e1b8565,12046
ood,False,201,99,constant,0.0,8.19230529057327,adc1fdeea203,6da93e1b8565,12046
ood,False,201,99,uniform_delta,-0.6414464119255314,10.745176294970706,adc1fdeea203,6da93e1b8565,12046
ood,False,201,99,graph_LinearReg,-1.2231659712965537,12.078103065490723,adc1fdeea203,6da93e1b8565,12046
ood,False,201,99,graph_NNLS,-1.2231648100279657,12.078100204467773,adc1fdeea203,6da93e1b8565,12046
indist,False,210,90,constant,0.0,17.14753895579286,5f876a734084,b7c586427019,11633
indist,False,210,90,uniform_delta,0.03248148020521924,16.92599522995791,5f876a734084,b7c586427019,11633
indist,False,210,90,graph_LinearReg,0.05718232787215527,16.921018600463867,5f876a734084,b7c586427019,11633
indist,False,210,90,graph_NNLS,0.05718232787215527,16.921016693115234,5f876a734084,b7c586427019,11633
ood,False,201,99,constant,0.0,18.817667625583155,5f876a734084,b7c586427019,11633
ood,False,201,99,uniform_delta,-0.13664940435882444,18.962266461885935,5f876a734084,b7c586427019,11633
ood,False,201,99,graph_LinearReg,0.03497489409400678,18.60578727722168,5f876a734084,b7c586427019,11633
ood,False,201,99,graph_NNLS,0.03497489409400678,18.605789184570312,5f876a734084,b7c586427019,11633
indist,False,210,90,constant,0.0,4.290193186705641,95a6f7f8345e,afd9b5752cb8,10264
indist,False,210,90,uniform_delta,0.5586396756342087,2.866145055435688,95a6f7f8345e,afd9b5752cb8,10264
indist,False,210,90,graph_LinearReg,0.5690587462628456,2.786440134048462,95a6f7f8345e,afd9b5752cb8,10264
indist,False,210,90,graph_NNLS,0.5690588858154868,2.786440134048462,95a6f7f8345e,afd9b5752cb8,10264
ood,False,201,99,constant,0.0,3.3145253452621337,95a6f7f8345e,afd9b5752cb8,10264
ood,False,201,99,uniform_delta,0.5660247673741776,2.049043484699183,95a6f7f8345e,afd9b5752cb8,10264
ood,False,201,99,graph_LinearReg,-2.0695995261789215,6.085216999053955,95a6f7f8345e,afd9b5752cb8,10264
ood,False,201,99,graph_NNLS,-2.069589014325556,6.085204601287842,95a6f7f8345e,afd9b5752cb8,10264
indist,False,210,90,constant,0.0,7.719399038316515,35114acfb54c,af42b5e3e0eb,9972
indist,False,210,90,uniform_delta,0.308071518938293,7.2139970281351244,35114acfb54c,af42b5e3e0eb,9972
indist,False,210,90,graph_LinearReg,0.5612924740148855,5.25380802154541,35114acfb54c,af42b5e3e0eb,9972
indist,False,210,90,graph_NNLS,0.5612924340282908,5.25380802154541,35114acfb54c,af42b5e3e0eb,9972
ood,False,201,99,constant,0.0,11.730864935728972,35114acfb54c,af42b5e3e0eb,9972
ood,False,201,99,uniform_delta,0.3791566664212205,9.271688795437472,35114acfb54c,af42b5e3e0eb,9972
ood,False,201,99,graph_LinearReg,0.8081396067797768,4.813791275024414,35114acfb54c,af42b5e3e0eb,9972
ood,False,201,99,graph_NNLS,0.8081395723907427,4.813793182373047,35114acfb54c,af42b5e3e0eb,9972
indist,False,210,90,constant,0.0,3.9497264098351823,b58ba81e712e,2abd05990aa9,9766
indist,False,210,90,uniform_delta,0.11996392026755187,3.8159176573505773,b58ba81e712e,2abd05990aa9,9766
indist,False,210,90,graph_LinearReg,0.5069189597306523,2.8292787075042725,b58ba81e712e,2abd05990aa9,9766
indist,False,210,90,graph_NNLS,0.5069189291271701,2.8292787075042725,b58ba81e712e,2abd05990aa9,9766
ood,False,201,99,constant,0.0,5.579817135398286,b58ba81e712e,2abd05990aa9,9766
ood,False,201,99,uniform_delta,-0.09159231486202546,5.682001653238325,b58ba81e712e,2abd05990aa9,9766
ood,False,201,99,graph_LinearReg,0.7192766294070895,3.0597565174102783,b58ba81e712e,2abd05990aa9,9766
ood,False,201,99,graph_NNLS,0.7192766604931451,3.059756278991699,b58ba81e712e,2abd05990aa9,9766
indist,False,210,90,constant,0.0,9.547227513344385,3ae5b1b2f41b,5f876a734084,9533
indist,False,210,90,uniform_delta,0.5820204713196306,6.5060340304527955,3ae5b1b2f41b,5f876a734084,9533
indist,False,210,90,graph_LinearReg,0.6215801667882451,6.250201225280762,3ae5b1b2f41b,5f876a734084,9533
indist,False,210,90,graph_NNLS,0.6215801979898421,6.250200271606445,3ae5b1b2f41b,5f876a734084,9533
ood,False,201,99,constant,0.0,13.51835318104209,3ae5b1b2f41b,5f876a734084,9533
ood,False,201,99,uniform_delta,0.8177402888498162,5.225838706381702,3ae5b1b2f41b,5f876a734084,9533
ood,False,201,99,graph_LinearReg,0.7660711444991265,5.998870849609375,3ae5b1b2f41b,5f876a734084,9533
ood,False,201,99,graph_NNLS,0.7660713371280454,5.998868465423584,3ae5b1b2f41b,5f876a734084,9533
indist,False,210,90,constant,0.0,4.06524791208067,b7c586427019,87f3522e7b25,9010
indist,False,210,90,uniform_delta,-11.409138594774445,15.66989125377892,b7c586427019,87f3522e7b25,9010
indist,False,210,90,graph_LinearReg,0.23023169806318566,3.6080620288848877,b7c586427019,87f3522e7b25,9010
indist,False,210,90,graph_NNLS,0.23023169806318566,3.6080620288848877,b7c586427019,87f3522e7b25,9010
ood,False,201,99,constant,0.0,4.955707434608204,b7c586427019,87f3522e7b25,9010
ood,False,201,99,uniform_delta,-15.165028796489128,24.645226774753855,b7c586427019,87f3522e7b25,9010
ood,False,201,99,graph_LinearReg,0.3917756755905967,3.816051483154297,b7c586427019,87f3522e7b25,9010
ood,False,201,99,graph_NNLS,0.3917759514121303,3.8160502910614014,b7c586427019,87f3522e7b25,9010
indist,False,210,90,constant,0.0,4.060030564455657,9a3ef4d24dd4,2abd05990aa9,8942
indist,False,210,90,uniform_delta,-0.5186886775449826,5.266785819429361,9a3ef4d24dd4,2abd05990aa9,8942
indist,False,210,90,graph_LinearReg,0.12481341557201808,3.748844623565674,9a3ef4d24dd4,2abd05990aa9,8942
indist,False,210,90,graph_NNLS,0.1248139164268035,3.7488439083099365,9a3ef4d24dd4,2abd05990aa9,8942
ood,False,201,99,constant,0.0,2.0582752265493105,9a3ef4d24dd4,2abd05990aa9,8942
ood,False,201,99,uniform_delta,-8.676828473658777,8.659981824546419,9a3ef4d24dd4,2abd05990aa9,8942
ood,False,201,99,graph_LinearReg,0.2640308525432994,2.1428916454315186,9a3ef4d24dd4,2abd05990aa9,8942
ood,False,201,99,graph_NNLS,0.2640308525432994,2.1428916454315186,9a3ef4d24dd4,2abd05990aa9,8942
indist,False,210,90,constant,0.0,5.996138463997713,6da93e1b8565,373f823120ce,7256
indist,False,210,90,uniform_delta,-2.0798251309818685,10.579955559315556,6da93e1b8565,373f823120ce,7256
indist,False,210,90,graph_LinearReg,0.02455420347371784,5.885939121246338,6da93e1b8565,373f823120ce,7256
indist,False,210,90,graph_NNLS,-1.8851134209185716e-08,5.996138095855713,6da93e1b8565,373f823120ce,7256
ood,False,201,99,constant,0.0,5.129748597822454,6da93e1b8565,373f823120ce,7256
ood,False,201,99,uniform_delta,-13.734874937531606,22.81976213870573,6da93e1b8565,373f823120ce,7256
ood,False,201,99,graph_LinearReg,0.10686223551304208,4.676054954528809,6da93e1b8565,373f823120ce,7256
ood,False,201,99,graph_NNLS,4.820835064478501e-09,5.129748344421387,6da93e1b8565,373f823120ce,7256
indist,False,210,90,constant,0.0,4.845163905465736,ea41fc6c6b9a,adc1fdeea203,7131
indist,False,210,90,uniform_delta,0.2621229485247911,5.070509985992628,ea41fc6c6b9a,adc1fdeea203,7131
indist,False,210,90,graph_LinearReg,0.28102274230878055,4.978151321411133,ea41fc6c6b9a,adc1fdeea203,7131
indist,False,210,90,graph_NNLS,0.28102274230878055,4.978151321411133,ea41fc6c6b9a,adc1fdeea203,7131
ood,False,201,99,constant,0.0,7.2716402919334024,ea41fc6c6b9a,adc1fdeea203,7131
ood,False,201,99,uniform_delta,0.8739101741809824,3.00030276133886,ea41fc6c6b9a,adc1fdeea203,7131
ood,False,201,99,graph_LinearReg,0.12020295203793585,6.670327663421631,ea41fc6c6b9a,adc1fdeea203,7131
ood,False,201,99,graph_NNLS,0.1202030502136171,6.670326232910156,ea41fc6c6b9a,adc1fdeea203,7131
indist,False,210,90,constant,0.0,6.73692361452865,7d0508345ec0,648b2a0c2f0a,7130
indist,False,210,90,uniform_delta,-0.33459625272066407,6.963600505705868,7d0508345ec0,648b2a0c2f0a,7130
indist,False,210,90,graph_LinearReg,0.022203342703424056,6.646140098571777,7d0508345ec0,648b2a0c2f0a,7130
