evaluation_protocol,risk_threshold,service,metric,unit,n_train,n_fit,n_test,wl_train,wl_test,model,mape_pct,smape_pct,rmse,nrmse,mae,r2,mape_full_res_pct,mae_full_res,rmse_full_res,r2_full_res,n_test_full_res,train_time_s
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,CPU,%,43406,2000,21380,0.0-2.2,2.2-15.1,GradBoost,26.95,27.31,1.0971,0.3325,0.7621,-0.0,91.75,1.7063,4.6129,-0.001,21380,0.05
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,CPU,%,43406,2000,21380,0.0-2.2,2.2-15.1,GaussianProcess,14.01,18.08,1.2033,0.3647,0.5598,-0.203,65.69,1.4661,4.6258,-0.007,21380,22.62
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,CPU,%,43406,2000,21380,0.0-2.2,2.2-15.1,SCM_Auto,25.24,37.57,1.8042,0.5469,0.9225,-1.704,50.72,1.647,8.6964,-2.558,21380,0.15
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,CPU,%,43406,2000,21380,0.0-2.2,2.2-15.1,SCM_Deployed,20.97,21.2,0.8748,0.2652,0.6026,0.364,82.88,1.6007,4.3615,0.105,21380,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,CPU,%,43415,2000,21384,0.0-2.2,2.2-3.7,LinearReg,12.88,14.72,0.0313,0.3512,0.0172,-0.077,14.34,0.021,0.4168,-0.0,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,CPU,%,43415,2000,21384,0.0-2.2,2.2-3.7,GradBoost,9.94,12.37,0.0331,0.3712,0.0151,-0.203,11.99,0.0195,0.4169,-0.0,21384,0.05
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,CPU,%,43415,2000,21384,0.0-2.2,2.2-3.7,GaussianProcess,10.73,12.97,0.0323,0.3627,0.0157,-0.149,12.54,0.0198,0.4169,-0.0,21384,29.85
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,CPU,%,43415,2000,21384,0.0-2.2,2.2-3.7,SCM_Auto,12.87,14.83,0.033,0.3696,0.0176,-0.193,14.34,0.021,0.4168,-0.0,21384,0.17
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,CPU,%,43415,2000,21384,0.0-2.2,2.2-3.7,SCM_Deployed,12.92,15.07,0.0338,0.3787,0.0178,-0.253,14.34,0.021,0.4168,-0.0,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,CPU,%,43409,2000,21382,0.0-2.2,2.2-4.0,LinearReg,9.86,9.64,0.0652,0.3865,0.0643,0.132,81.15,0.4173,0.727,-0.0,21382,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,CPU,%,43409,2000,21382,0.0-2.2,2.2-4.0,GradBoost,8.72,9.45,0.0876,0.5193,0.0634,-0.567,68.99,0.3868,0.7277,-0.002,21382,0.06
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,CPU,%,43409,2000,21382,0.0-2.2,2.2-4.0,GaussianProcess,9.01,9.28,0.0682,0.4045,0.0619,0.049,71.67,0.3935,0.7262,0.002,21382,22.52
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,CPU,%,43409,2000,21382,0.0-2.2,2.2-4.0,SCM_Auto,11.42,11.92,0.0916,0.5434,0.0792,-0.716,75.99,0.404,0.7269,-0.0,21382,0.22
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,CPU,%,43409,2000,21382,0.0-2.2,2.2-4.0,SCM_Deployed,10.54,10.33,0.0711,0.4215,0.0692,-0.032,81.15,0.4173,0.727,-0.0,21382,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Memory,MB,43348,2000,21351,0.0-24.9,24.9-29.6,LinearReg,2.32,2.29,2.4803,1.115,2.4042,-13.218,5.04,5.5205,12.4936,-0.038,21351,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Memory,MB,43348,2000,21351,0.0-24.9,24.9-29.6,GradBoost,4.58,4.48,4.7997,2.1578,4.7544,-52.244,6.38,6.8243,13.159,-0.151,21351,0.09
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Memory,MB,43348,2000,21351,0.0-24.9,24.9-29.6,GaussianProcess,1.71,1.69,1.8868,0.8482,1.7684,-7.227,4.85,5.3517,12.3996,-0.022,21351,24.74
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Memory,MB,43348,2000,21351,0.0-24.9,24.9-29.6,SCM_Auto,4.61,4.76,5.5344,2.4881,4.7992,-69.791,5.27,6.0293,13.5412,-0.219,21351,0.23
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,Memory,MB,43348,2000,21351,0.0-24.9,24.9-29.6,SCM_Deployed,2.14,2.11,2.6747,1.2024,2.2208,-15.534,5.04,5.5205,12.4936,-0.038,21351,0.01
