repeat,service,hops,group,change_pct,z_score,anomaly_score,shapley_contribution,risk_level
2,ts-assurance-service,1,reachable,13.09,0.1269,0.6344,0.1774,normal
2,ts-contacts-service,1,reachable,6.79,0.072,0.4665,0.1749,normal
2,ts-order-service,1,reachable,10.04,0.1252,0.355,0.1684,normal
2,ts-consign-price-service,-1,unreachable,4.46,0.047,0.5974,0.1622,normal
2,ts-consign-service,-1,unreachable,3.52,0.0469,0.5273,0.1557,normal
2,ts-travel-service,1,reachable,12.9,0.1673,0.1648,0.1554,normal
2,ts-admin-travel-service,-1,unreachable,-2.88,0.0313,0.4973,0.1517,normal
2,ts-preserve-service,0,injection_self,39.33,0.4213,0.4586,0.1487,normal
2,ts-food-map-service,2,reachable,8.02,0.0745,0.667,0.1292,normal
2,ts-inside-payment-service,-1,unreachable,7.66,0.0391,1.0208,0.1277,normal
2,ts-travel2-service,-1,unreachable,1.84,0.0341,0.7418,0.1158,normal
2,ts-user-service,1,reachable,23.49,0.2183,0.7523,0.0991,normal
2,ts-food-service,1,reachable,11.98,0.1375,0.6496,0.0701,normal
2,ts-admin-basic-info-service,-1,unreachable,-2.93,0.0298,0.567,0.02,normal
3,ts-ui-dashboard,-1,unreachable,0.36,0.0296,0.1438,0.4591,normal
3,ts-auth-service,-1,unreachable,0.0,0.0002,0.0439,0.4471,normal
3,ts-order-other-service,2,reachable,0.18,0.0032,0.202,0.3488,normal
3,ts-station-service,1,reachable,2.15,0.0478,0.1874,0.3246,normal
3,ts-price-service,3,reachable,2.3,0.0249,0.3973,0.3237,normal
3,ts-seat-service,1,reachable,5.12,0.0801,0.1778,0.3178,normal
3,ts-travel2-service,-1,unreachable,-2.8,0.0519,0.3214,0.3111,normal
3,ts-train-service,2,reachable,1.57,0.0249,0.0335,0.2955,normal
3,ts-basic-service,2,reachable,7.3,0.1589,0.2483,0.2859,normal
3,ts-config-service,2,reachable,7.49,0.0946,0.6709,0.2542,normal
3,ts-consign-price-service,-1,unreachable,-1.84,0.0194,0.5375,0.2519,normal
3,ts-consign-service,-1,unreachable,-1.91,0.0254,0.4092,0.2395,normal
