prompt_id,repeat_id,category,delta_pct,n_flagged_raw,n_flagged_excl_injection,n_flagged_excl_injection_and_catalogue
REQ-17,3,In_Distribution,10.0,2,1,0
REQ-18,3,In_Distribution,10.0,2,1,0
REQ-19,3,In_Distribution,10.0,2,1,0
REQ-20,3,In_Distribution,25.0,5,4,3
REQ-21,3,Complex_MultiHop,25.0,5,4,3
REQ-22,3,Complex_MultiHop,25.0,4,3,2
REQ-23,3,Complex_MultiHop,25.0,6,5,4
REQ-24,3,Complex_MultiHop,20.0,4,3,2
REQ-25,3,Complex_MultiHop,10.0,2,1,0
REQ-26,3,Complex_MultiHop,25.0,5,4,3
REQ-27,3,Complex_MultiHop,25.0,5,4,3
REQ-28,3,Complex_MultiHop,30.0,6,5,4
REQ-29,3,Complex_MultiHop,15.0,4,3,2
REQ-30,3,Complex_MultiHop,25.0,5,4,3
REQ-31,3,Subtle_ReadOnly,10.0,2,1,0
REQ-32,3,Subtle_ReadOnly,10.0,2,1,0
REQ-33,3,Subtle_ReadOnly,25.0,5,4,3
REQ-34,3,Subtle_ReadOnly,10.0,2,1,0
REQ-35,3,Subtle_ReadOnly,10.0,2,1,0
REQ-36,3,Subtle_ReadOnly,10.0,3,2,1
REQ-37,3,Subtle_ReadOnly,10.0,3,2,1
REQ-38,3,Subtle_ReadOnly,10.0,3,2,1
REQ-39,3,Subtle_ReadOnly,10.0,3,2,1
REQ-40,3,Subtle_ReadOnly,10.0,2,1,0
REQ-41,3,Adversarial_Stress,25.0,5,4,3
REQ-42,3,Adversarial_Stress,25.0,6,5,4
REQ-43,3,Adversarial_Stress,25.0,6,5,4
REQ-44,3,Adversarial_Stress,25.0,6,5,4
REQ-45,3,Adversarial_Stress,20.0,4,3,2
REQ-46,3,Adversarial_Stress,10.0,4,3,2
REQ-47,3,Adversarial_Stress,10.0,2,1,0
REQ-48,3,Adversarial_Stress,10.0,2,1,0
REQ-49,3,Adversarial_Stress,10.0,3,2,1
REQ-50,3,Adversarial_Stress,10.0,3,2,1
