scenario,fault,run_id,metric,service,parent,lag,n,marginal,residual_carry,counterfactual
carts_cpu,cpu,1,cpu,catalogue,front-end,5,716,11.507358922636572,9.411109539004633,9.354195342501956
carts_cpu,cpu,1,cpu,catalogue,front-end,15,706,11.656442053820362,17.392150705464164,17.391498490903576
carts_cpu,cpu,1,cpu,catalogue,front-end,30,691,11.822902979683802,15.978624635507993,16.008979041999748
carts_cpu,cpu,1,cpu,carts,front-end,5,716,96.16723737604852,4.592046838986512,4.591163544824442
carts_cpu,cpu,1,cpu,carts,front-end,15,706,96.58533465392982,7.269080628754418,7.263001428133446
carts_cpu,cpu,1,cpu,carts,front-end,30,691,96.78171614983985,8.284256947128924,8.284227514872141
carts_cpu,cpu,1,cpu,user,front-end,5,716,6.8252380677730375,5.62889693144667,5.626896463332287
carts_cpu,cpu,1,cpu,user,front-end,15,706,6.746194715608285,8.845510798453155,8.847341012405437
carts_cpu,cpu,1,cpu,user,front-end,30,691,6.605418620974681,9.066023762500029,9.070491330624876
carts_cpu,cpu,1,cpu,orders,front-end,5,716,21.823358887572585,9.852861942919663,9.852861942919663
carts_cpu,cpu,1,cpu,orders,front-end,15,706,21.816186142548766,18.058205588202636,18.058205588202636
carts_cpu,cpu,1,cpu,orders,front-end,30,691,21.661647989854156,27.023249315138425,27.023249315138425
carts_cpu,cpu,1,cpu,payment,orders,5,716,7.329100247081409,6.718016790383268,6.732189120293485
carts_cpu,cpu,1,cpu,payment,orders,15,706,7.411033076471929,9.402039792882434,9.3937428083385
carts_cpu,cpu,1,cpu,payment,orders,30,691,7.525440845380212,10.40129515498647,10.401170927898546
carts_cpu,cpu,1,cpu,shipping,orders,5,716,36.906692986350116,14.21562519805314,14.21491378222898
carts_cpu,cpu,1,cpu,shipping,orders,15,706,36.812204657127786,32.107436170592166,32.10912883655874
carts_cpu,cpu,1,cpu,shipping,orders,30,691,36.7905370306845,53.59339265741249,53.58868302704403
carts_cpu,cpu,1,mem,catalogue,front-end,5,716,0.6306163934521714,0.023717898432723476,0.023717898432723476
carts_cpu,cpu,1,mem,catalogue,front-end,15,706,0.6347584662167386,0.06789373368454163,0.06789373368454163
carts_cpu,cpu,1,mem,catalogue,front-end,30,691,0.6374440338570441,0.09585693992406197,0.09585693992406197
carts_cpu,cpu,1,mem,carts,front-end,5,716,2.7203779490783546,0.02170600900868391,0.02170600900868391
carts_cpu,cpu,1,mem,carts,front-end,15,706,2.7398416052052808,0.051067818336109516,0.051067818336109516
carts_cpu,cpu,1,mem,carts,front-end,30,691,2.747170580808033,0.06578644169280926,0.06578644169280926
carts_cpu,cpu,1,mem,user,front-end,5,716,0.9891193248179803,0.07039482081089692,0.07039482081089692
carts_cpu,cpu,1,mem,user,front-end,15,706,0.9937802938495441,0.18823215956479758,0.18823215956479758
carts_cpu,cpu,1,mem,user,front-end,30,691,1.0000827016078528,0.18542422901196015,0.18542422901196015
carts_cpu,cpu,1,mem,orders,front-end,5,716,0.09020075326070723,0.007734241202548119,0.006032995249159265
carts_cpu,cpu,1,mem,orders,front-end,15,706,0.09116084794309004,0.01940058507856664,0.01771004165387403
carts_cpu,cpu,1,mem,orders,front-end,30,691,0.0923261642736028,0.02685223557331881,0.025953603461968466
carts_cpu,cpu,1,mem,payment,orders,5,716,1.5073751049075728,0.019620409802515146,0.019620409802515146
carts_cpu,cpu,1,mem,payment,orders,15,706,1.518090231655755,0.055188549155321294,0.055188549155321294
carts_cpu,cpu,1,mem,payment,orders,30,691,1.5349408370344608,0.07758930423011583,0.07758930423011583
carts_cpu,cpu,1,mem,shipping,orders,5,716,0.027989718677625806,0.001661972084735095,0.0016386278604213472
carts_cpu,cpu,1,mem,shipping,orders,15,706,0.027165782429600174,0.004564991236452849,0.004530667886047336
carts_cpu,cpu,1,mem,shipping,orders,30,691,0.025848522560189772,0.0061880979493037745,0.006183979174298451
carts_cpu,cpu,2,cpu,catalogue,front-end,5,716,8.104253683952923,7.279412806220427,7.096191667516252
carts_cpu,cpu,2,cpu,catalogue,front-end,15,706,8.00570476160178,10.292423111580312,10.631444072649408
carts_cpu,cpu,2,cpu,catalogue,front-end,30,691,7.823880753356235,10.931849703403756,11.197667035923004
