variant,injection_service,delta_pct,service,cpu_change_pct,sign_inverted
OLD_no_backpressure,ts-ui-dashboard,300,ts-preserve-other-service,297.57,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-preserve-service,277.2,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-price-service,128.86,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-route-service,3.29,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-seat-service,137.67,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-security-service,263.94,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-station-service,113.44,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-ticketinfo-service,100.29,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-train-service,108.04,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-travel-service,50.92,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-travel2-service,88.69,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-ui-dashboard,96.74,False
OLD_no_backpressure,ts-ui-dashboard,300,ts-user-service,236.16,False
OLD_no_backpressure,ts-preserve-service,100,ts-admin-basic-info-service,-16.04,True
OLD_no_backpressure,ts-preserve-service,100,ts-admin-travel-service,-5.78,True
OLD_no_backpressure,ts-preserve-service,100,ts-assurance-service,22.43,False
OLD_no_backpressure,ts-preserve-service,100,ts-auth-service,-1.55,True
OLD_no_backpressure,ts-preserve-service,100,ts-basic-service,0.62,False
OLD_no_backpressure,ts-preserve-service,100,ts-config-service,-1.93,True
OLD_no_backpressure,ts-preserve-service,100,ts-consign-price-service,-9.65,True
OLD_no_backpressure,ts-preserve-service,100,ts-consign-service,-5.4,True
OLD_no_backpressure,ts-preserve-service,100,ts-contacts-service,3.29,False
OLD_no_backpressure,ts-preserve-service,100,ts-food-map-service,-5.9,True
OLD_no_backpressure,ts-preserve-service,100,ts-food-service,-0.66,True
OLD_no_backpressure,ts-preserve-service,100,ts-inside-payment-service,-0.86,True
OLD_no_backpressure,ts-preserve-service,100,ts-order-other-service,11.57,False
OLD_no_backpressure,ts-preserve-service,100,ts-order-service,8.5,False
OLD_no_backpressure,ts-preserve-service,100,ts-payment-service,18.37,False
OLD_no_backpressure,ts-preserve-service,100,ts-preserve-other-service,-9.94,True
OLD_no_backpressure,ts-preserve-service,100,ts-preserve-service,29.28,False
OLD_no_backpressure,ts-preserve-service,100,ts-price-service,-0.01,True
OLD_no_backpressure,ts-preserve-service,100,ts-route-service,-5.38,True
OLD_no_backpressure,ts-preserve-service,100,ts-seat-service,-3.94,True
OLD_no_backpressure,ts-preserve-service,100,ts-security-service,14.66,False
OLD_no_backpressure,ts-preserve-service,100,ts-station-service,9.67,False
OLD_no_backpressure,ts-preserve-service,100,ts-ticketinfo-service,7.52,False
OLD_no_backpressure,ts-preserve-service,100,ts-train-service,14.59,False
OLD_no_backpressure,ts-preserve-service,100,ts-travel-service,12.9,False
OLD_no_backpressure,ts-preserve-service,100,ts-travel2-service,2.74,False
OLD_no_backpressure,ts-preserve-service,100,ts-ui-dashboard,-0.77,True
OLD_no_backpressure,ts-preserve-service,100,ts-user-service,6.29,False
OLD_no_backpressure,ts-preserve-service,150,ts-admin-basic-info-service,0.22,False
OLD_no_backpressure,ts-preserve-service,150,ts-admin-travel-service,10.36,False
OLD_no_backpressure,ts-preserve-service,150,ts-assurance-service,-0.32,True
OLD_no_backpressure,ts-preserve-service,150,ts-auth-service,-2.94,True
OLD_no_backpressure,ts-preserve-service,150,ts-basic-service,5.3,False
OLD_no_backpressure,ts-preserve-service,150,ts-config-service,12.39,False
OLD_no_backpressure,ts-preserve-service,150,ts-consign-price-service,-9.74,True
OLD_no_backpressure,ts-preserve-service,150,ts-consign-service,-1.51,True
OLD_no_backpressure,ts-preserve-service,150,ts-contacts-service,13.52,False
OLD_no_backpressure,ts-preserve-service,150,ts-food-map-service,1.11,False
OLD_no_backpressure,ts-preserve-service,150,ts-food-service,10.53,False
OLD_no_backpressure,ts-preserve-service,150,ts-inside-payment-service,11.45,False
OLD_no_backpressure,ts-preserve-service,150,ts-order-other-service,-0.57,True
OLD_no_backpressure,ts-preserve-service,150,ts-order-service,10.58,False
OLD_no_backpressure,ts-preserve-service,150,ts-payment-service,-1.78,True
OLD_no_backpressure,ts-preserve-service,150,ts-preserve-other-service,2.03,False
OLD_no_backpressure,ts-preserve-service,150,ts-preserve-service,26.61,False
OLD_no_backpressure,ts-preserve-service,150,ts-price-service,0.25,False
OLD_no_backpressure,ts-preserve-service,150,ts-route-service,1.58,False
OLD_no_backpressure,ts-preserve-service,150,ts-seat-service,3.42,False
OLD_no_backpressure,ts-preserve-service,150,ts-security-service,22.2,False
OLD_no_backpressure,ts-preserve-service,150,ts-station-service,0.46,False
OLD_no_backpressure,ts-preserve-service,150,ts-ticketinfo-service,-3.91,True
OLD_no_backpressure,ts-preserve-service,150,ts-train-service,6.6,False
OLD_no_backpressure,ts-preserve-service,150,ts-travel-service,1.7,False
OLD_no_backpressure,ts-preserve-service,150,ts-travel2-service,1.63,False
OLD_no_backpressure,ts-preserve-service,150,ts-ui-dashboard,-0.62,True
OLD_no_backpressure,ts-preserve-service,150,ts-user-service,37.05,False
OLD_no_backpressure,ts-preserve-service,300,ts-admin-basic-info-service,-11.39,True
