service,metric,mechanism,mape_pct,mae,rmse,r2,f1_threshold_cross,n_test_buckets
front-end,CPU,auto_gcm,1.3748348936577524,0.06084973914384462,0.0781143695525821,0.6368449067098978,1.0,8
front-end,CPU,linear_pos,1.8298756628711468,0.08125076916196738,0.1022461341509864,0.37780850700739343,1.0,8
front-end,CPU,hgbr_mono,2.3948641968997695,0.10423552885476822,0.1297162718447513,-0.0014267590037477795,1.0,8
catalogue,CPU,auto_gcm,45.89351410916394,0.09638293946552133,0.10989615647261616,-0.14551609910884977,1.0,8
catalogue,CPU,linear_pos,46.945077849853334,0.0849987596437955,0.10455579243020033,-0.0368892829970906,1.0,8
catalogue,CPU,hgbr_mono,38.4310371440508,0.08427087172836951,0.10154829779937555,0.021903993170460767,1.0,8
user,CPU,auto_gcm,1.7874855514788117,0.01663341038924511,0.019761407245572862,0.7194761344999901,1.0,8
user,CPU,linear_pos,2.167604192376773,0.019999221783518192,0.024694137274112234,0.5619519067526068,1.0,8
user,CPU,hgbr_mono,1.3257224183603538,0.012197592129183199,0.014189404790838363,0.8553686517306195,1.0,8
carts,CPU,auto_gcm,8.844755993321627,0.19106088757411774,0.22244112657894616,0.20250081874264125,1.0,8
carts,CPU,linear_pos,9.639453159095538,0.21230648268903912,0.23967466788331468,0.07414208749150686,1.0,8
carts,CPU,hgbr_mono,7.6710170783216345,0.17309314809448118,0.2172529401974465,0.2392685005561348,1.0,8
orders,CPU,auto_gcm,16.61919972340151,0.36084899986858743,0.4730321328355474,-4.167439597972254,1.0,8
orders,CPU,linear_pos,31.283270665189445,0.6452378237402854,0.735589828174489,-11.495842793705163,1.0,8
orders,CPU,hgbr_mono,13.073279974416351,0.2815482513398814,0.3398601743380928,-1.6674400913937308,1.0,8
payment,CPU,auto_gcm,3.191053452390931,0.0028574627224557843,0.003878730371307535,-0.2721786184158066,1.0,8
payment,CPU,linear_pos,2.8574634083689503,0.002565040662266229,0.0035446180055308447,-0.06244825836077972,1.0,8
payment,CPU,hgbr_mono,3.3056493085895777,0.0029495485471214763,0.004105687548023255,-0.42541295465029627,1.0,8
shipping,CPU,auto_gcm,25.262165052080665,0.13430923422000773,0.1930434508491718,-18.126229321459626,1.0,8
shipping,CPU,linear_pos,17.72542726472768,0.09710157563798488,0.10337146791073426,-4.484292136351712,1.0,8
shipping,CPU,hgbr_mono,12.873778164006906,0.069234695147942,0.0867649063521686,-2.8637357692900265,1.0,8
front-end,Memory,auto_gcm,1.5046076772145927,1584253.5077253226,1830135.6235612633,0.3055269282929113,1.0,8
front-end,Memory,linear_pos,2.046545026007749,2174310.4873602986,2725325.960174743,-0.5400178956090125,1.0,8
front-end,Memory,hgbr_mono,1.4946696462885356,1580087.9932712782,1996855.1061304868,0.17323521979271472,1.0,8
catalogue,Memory,auto_gcm,0.9465322777429471,58419.21202236402,77131.27141711333,-2.3950074277360476,0.0,8
catalogue,Memory,linear_pos,0.609706042115438,37425.85092661553,44704.28090870902,-0.14045453138198538,1.0,8
catalogue,Memory,hgbr_mono,0.6341449693125611,38894.58946017828,48596.537141271554,-0.34769120971151257,1.0,8
user,Memory,auto_gcm,1.41546628733577,112963.76783983002,138752.21959745028,-0.08198523541892011,1.0,8
user,Memory,linear_pos,1.502937435293075,119694.26192316343,152071.5250117065,-0.29968246171106894,1.0,8
user,Memory,hgbr_mono,1.4503155440704565,115461.93154478492,147180.77252205164,-0.2174289148586508,1.0,8
carts,Memory,auto_gcm,1.4234318223085514,3023670.395154733,3149233.391434385,-3.22857705126515,1.0,8
carts,Memory,linear_pos,0.758966794280263,1610183.0258275792,1898284.2336363809,-0.5364096795961886,1.0,8
