label,target,repeat,scenario,true_tier,tier1_contrib,tier2_contrib,predicted_tier,correct
SockShop,payment_cpu,7,tier1_driven,tier1,-0.043854291417165694,-0.43917964071856286,tier2,False
SockShop,payment_cpu,7,tier2_driven,tier2,2.7944111776455837e-05,0.49897405189620764,tier2,True
SockShop,payment_cpu,8,tier1_driven,tier1,0.09830006653359938,-0.2979008649367931,tier2,False
SockShop,payment_cpu,8,tier2_driven,tier2,0.0017465069860279115,0.49725548902195604,tier2,True
SockShop,payment_cpu,9,tier1_driven,tier1,-0.017520292747837615,-0.4176094477711244,tier2,False
SockShop,payment_cpu,9,tier2_driven,tier2,-0.0011789753825681842,0.5001809713905523,tier2,True
SockShop,shipping_cpu,0,tier1_driven,tier1,-0.006654025282767722,0.05855023286759821,tier2,False
SockShop,shipping_cpu,0,tier2_driven,tier2,-0.0029560878243513147,0.49397405189620724,tier2,True
SockShop,shipping_cpu,1,tier1_driven,tier1,-0.013039254823686008,0.08090352628077178,tier2,False
SockShop,shipping_cpu,1,tier2_driven,tier2,-0.0026799733865602534,0.49369793745841617,tier2,True
SockShop,shipping_cpu,2,tier1_driven,tier1,-0.0010884896872921479,0.005080505655355956,tier2,False
SockShop,shipping_cpu,2,tier2_driven,tier2,-0.0001430472388556555,0.48716899534264824,tier2,True
SockShop,shipping_cpu,3,tier1_driven,tier1,-0.00024351297405185538,-0.11552495009980039,tier2,False
SockShop,shipping_cpu,3,tier2_driven,tier2,-0.0024111776447105996,0.5014131736526948,tier2,True
SockShop,shipping_cpu,4,tier1_driven,tier1,-0.002616101131071104,-0.10117631403858948,tier2,False
SockShop,shipping_cpu,4,tier2_driven,tier2,-0.002642714570858304,0.4976526946107784,tier2,True
SockShop,shipping_cpu,5,tier1_driven,tier1,-0.0013313373253492486,0.06919560878243515,tier2,False
SockShop,shipping_cpu,5,tier2_driven,tier2,-0.0013832335329341619,0.4804251497005987,tier2,True
SockShop,shipping_cpu,6,tier1_driven,tier1,0.00032335329341313024,0.043588822355289464,tier2,False
SockShop,shipping_cpu,6,tier2_driven,tier2,-0.00019494344644043854,0.4952049234863605,tier2,True
SockShop,shipping_cpu,7,tier1_driven,tier1,-0.014721224218230201,-0.017214903526280727,tier2,False
SockShop,shipping_cpu,7,tier2_driven,tier2,1.3306719893191321e-06,0.49500864936793076,tier2,True
SockShop,shipping_cpu,8,tier1_driven,tier1,-0.008480372588157028,-0.05139986693280108,tier2,False
SockShop,shipping_cpu,8,tier2_driven,tier2,0.0008230206254157962,0.4981789753825683,tier2,True
SockShop,shipping_cpu,9,tier1_driven,tier1,-0.013547571523619299,0.045483699268130395,tier2,False
SockShop,shipping_cpu,9,tier2_driven,tier2,0.0013027278775781942,0.49370725216234185,tier2,True
SockShop,user_cpu,0,tier1_driven,tier1,0.5581563539587491,-0.14298669328010644,tier1,True
SockShop,user_cpu,0,tier2_driven,tier2,0.001592149035262789,0.4974098469727213,tier2,True
SockShop,user_cpu,1,tier1_driven,tier1,0.535934131736527,-0.14471656686626747,tier1,True
SockShop,user_cpu,1,tier2_driven,tier2,-0.004917498336660002,0.5039194943446441,tier2,True
SockShop,user_cpu,2,tier1_driven,tier1,0.5505329341317363,-0.13935528942115769,tier1,True
SockShop,user_cpu,2,tier2_driven,tier2,0.0013526280771789106,0.49764936793080516,tier2,True
SockShop,user_cpu,3,tier1_driven,tier1,0.5600698602794413,-0.14090818363273447,tier1,True
SockShop,user_cpu,3,tier2_driven,tier2,0.0009980039920159524,0.498003992015968,tier2,True
SockShop,user_cpu,4,tier1_driven,tier1,0.5602601463739187,-0.13311443779108453,tier1,True
SockShop,user_cpu,4,tier2_driven,tier2,-0.003948103792415165,0.5029500998003993,tier2,True
