system,omnibus_chi2,omnibus_p,omnibus_rejects,comparison,scope,n,n_identical,median_delta,p,r,cliff,wins,p_holm,verdict
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_GradBoost,Socket,28,0,1.3450000000000006,4.2110681533813477e-05,-0.8177339901477833,-0.6428571428571429,5,0.0003368854522705078,***
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_GaussianProcess,pooled,84,4,0.5299999999999976,7.170636868447085e-09,-0.7447530864197531,-0.47619047619047616,20,8.604764242136501e-08,***
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_GaussianProcess,CPU,28,0,24.370000000000005,1.043081283569336e-07,-0.9704433497536946,-0.8571428571428571,2,1.043081283569336e-06,***
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_GaussianProcess,Memory,28,2,-0.01000000000000012,0.9089706505469858,0.02564102564102564,0.14285714285714285,15,1.0,ns
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_GaussianProcess,Socket,28,2,1.6599999999999993,9.675463547289763e-05,-0.8746438746438746,-0.7142857142857143,3,0.0006772824483102834,***
TrainTicket,45.833,0.0,True,SCM_Auto_vs_LinearReg,pooled,84,23,0.0,0.00029442777501703806,0.5330512956107879,0.20238095238095238,39,0.0035331333002044567,**
TrainTicket,45.833,0.0,True,SCM_Auto_vs_LinearReg,CPU,28,5,-15.715,0.0006580763435422675,0.8115942028985508,0.6071428571428571,20,0.007238839778964942,**
TrainTicket,45.833,0.0,True,SCM_Auto_vs_LinearReg,Memory,28,14,0.0,0.10247043485974941,-0.49523809523809526,-0.21428571428571427,4,0.5511050637712099,ns
TrainTicket,45.833,0.0,True,SCM_Auto_vs_LinearReg,Socket,28,4,-0.07999999999999963,0.09185084396186832,0.3933333333333333,0.21428571428571427,15,0.5511050637712099,ns
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GradBoost,pooled,84,21,0.0,0.006169046222143082,-0.3968253968253968,-0.20238095238095238,23,0.049352369777144654,*
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GradBoost,CPU,28,5,0.025000000000000355,0.273543661089366,-0.2608695652173913,-0.17857142857142858,9,0.5511050637712099,ns
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GradBoost,Memory,28,6,0.0,0.1389992234840385,-0.35968379446640314,-0.07142857142857142,10,0.5511050637712099,ns
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GradBoost,Socket,28,10,0.009999999999999787,0.006484497042276746,-0.7309941520467836,-0.35714285714285715,4,0.049352369777144654,*
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GaussianProcess,pooled,84,2,0.10499999999999976,0.0024987929563937443,-0.3843667352336174,-0.19047619047619047,33,0.024987929563937444,*
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GaussianProcess,CPU,28,0,4.195000000000007,0.0051764026284217834,-0.5911330049261084,-0.5,7,0.04658762365579605,*
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GaussianProcess,Memory,28,2,0.014999999999999902,0.11226869996529314,-0.3561253561253561,-0.07142857142857142,12,0.5511050637712099,ns
TrainTicket,45.833,0.0,True,SCM_Auto_vs_GaussianProcess,Socket,28,0,0.040000000000000036,0.6455853804945946,-0.10344827586206896,0.0,14,0.6455853804945946,ns
