scenario,target,fault,run_id,metric,other_service,n_pre,n_post,naive_post,backdoor_post,structural_post,naive_pre,backdoor_pre
carts_cpu,carts,cpu,1,cpu,front-end,720,721,20.985996847623774,19.525931717978537,7.606230390365511,7.833189501914349,7.8034691797550515
carts_cpu,carts,cpu,1,cpu,catalogue,720,721,56.368853104579486,46.456392182502135,11.447805084136519,9.115383838707375,9.111464089553694
carts_cpu,carts,cpu,1,cpu,user,719,721,142.66195814688143,146.4769316170349,6.863826323229516,8.193829281265923,8.279082396115948
carts_cpu,carts,cpu,1,cpu,orders,720,721,118.84627428409098,120.58410481225535,21.760522227947895,17.844864417472692,17.850118828967243
carts_cpu,carts,cpu,1,cpu,payment,720,721,97.25692812627193,103.02903239139441,7.3616890922339735,6.919103460239128,6.876642124389506
carts_cpu,carts,cpu,1,cpu,shipping,720,721,256.9847833618999,268.5654638979764,36.947443171989654,28.104465986097416,28.048025855406443
carts_cpu,carts,cpu,1,mem,front-end,720,721,6.890345816868448,6.349875909893788,4.0916930932460716,3.78301127073246,3.7773944316539265
carts_cpu,carts,cpu,1,mem,catalogue,720,721,2.640965870001576,2.670494048641285,0.6284552512921678,0.0895009984621242,0.08877424108230512
carts_cpu,carts,cpu,1,mem,user,720,721,4.820064876627175,4.848016452948912,0.9868373247234696,0.13093205475735503,0.13099580763850865
carts_cpu,carts,cpu,1,mem,orders,720,721,0.60119988590522,0.6010463163204309,0.08976065729170296,0.039428176435132155,0.03943187673750648
carts_cpu,carts,cpu,1,mem,payment,720,721,6.395521609388383,6.476853889309322,1.5026937274114636,0.3444254058749576,0.34557168628701485
carts_cpu,carts,cpu,1,mem,shipping,720,721,0.5169651095925254,0.5129387675414818,0.028386195272691213,0.040424433669646063,0.04029139222121356
carts_cpu,carts,cpu,2,cpu,front-end,720,721,282.8999563132804,282.88417005811175,10.790855525462081,6.034211916313027,6.035673617377232
carts_cpu,carts,cpu,2,cpu,catalogue,720,721,459.5834219235723,459.1938568740717,8.123514693512686,10.656240871615307,10.429417591308605
carts_cpu,carts,cpu,2,cpu,user,720,721,376.2971670404986,376.34846800455045,7.55378471220889,7.011823964673865,7.0192320288276475
carts_cpu,carts,cpu,2,cpu,orders,720,721,23.61675699762403,22.86085429714692,33.90086001735888,30.88950696863973,30.579867362653573
carts_cpu,carts,cpu,2,cpu,payment,720,721,176.4738726577103,177.1410284096357,8.158008917378924,9.387365287455966,9.143055454777832
carts_cpu,carts,cpu,2,cpu,shipping,720,721,43.77939671627462,37.3552082199582,46.34762889986297,37.59988177810323,34.597417680843805
carts_cpu,carts,cpu,2,mem,front-end,720,721,3.3306349165456437,3.3300891640400843,3.3672302212958325,3.9282072743435563,3.9272198675608405
carts_cpu,carts,cpu,2,mem,catalogue,720,721,1.0841580163809161,1.0848315753973294,0.7644111508457891,0.10280496835222805,0.10190337955894796
carts_cpu,carts,cpu,2,mem,user,720,721,1.3432022883313837,1.3482832874508939,0.8086575869020176,0.2543599834465429,0.25611481691057614
carts_cpu,carts,cpu,2,mem,orders,720,721,0.3284951000131919,0.3286738248589782,0.14532023130555044,0.07224446608308203,0.07238971099675667
carts_cpu,carts,cpu,2,mem,payment,720,721,1.7480648271666681,1.7452187854963188,0.9404401781517403,0.6381831303404021,0.6391487132355893
carts_cpu,carts,cpu,2,mem,shipping,720,721,0.15865561527228544,0.15843022591732453,0.07805547977376683,0.04178721007522155,0.04203544380906534
carts_cpu,carts,cpu,3,cpu,front-end,720,719,132.76671966237143,135.9965144997415,7.983589433684565,7.035153698245714,6.994293423649134
carts_cpu,carts,cpu,3,cpu,catalogue,720,718,106.93184189607467,103.25767337995175,8.483678535346236,7.520697018013209,7.550115924783343
carts_cpu,carts,cpu,3,cpu,user,720,719,75.91971657307978,73.38271742140935,8.295788148307006,7.823263719015077,7.826821405527975
carts_cpu,carts,cpu,3,cpu,orders,720,719,1211.6709859267953,1223.957246264706,34.93761385132518,35.56218562851219,35.581836390675925
carts_cpu,carts,cpu,3,cpu,payment,720,719,51.907631400660016,54.409354439162904,8.39844166701601,9.142401754757717,9.03220141532092
carts_cpu,carts,cpu,3,cpu,shipping,720,719,279.3163955337053,284.8865617683289,33.61221663683046,17.027496863740897,17.143098359907206
carts_cpu,carts,cpu,3,mem,front-end,720,721,29.261078089635046,30.82444923983433,3.548481929628908,3.5535169960254285,3.532742079220437
carts_cpu,carts,cpu,3,mem,catalogue,720,721,10.126756154479798,10.104457420223719,0.6811308048800195,0.12695107293892152,0.12734018116215912
carts_cpu,carts,cpu,3,mem,user,720,721,27.49764135559919,27.130152496009053,0.8446375589111037,0.5409162204131465,0.5330466915722054
carts_cpu,carts,cpu,3,mem,orders,720,721,3.1862009806974263,3.2080202704792384,0.0473172128812303,0.08697679083097545,0.08655895472241387
carts_cpu,carts,cpu,3,mem,payment,720,721,18.253807359843847,18.081714073348493,0.41504137116319606,0.25462067746993783,0.2523214875901825
carts_cpu,carts,cpu,3,mem,shipping,720,721,6.047051042472325,6.024864331772978,0.07899005130259822,0.10890698586444483,0.10858285210483642
carts_delay,carts,delay,1,cpu,front-end,720,721,10.78392592733135,10.707921329844272,9.540279300402158,7.114423646821693,7.159184300290594
carts_delay,carts,delay,1,cpu,catalogue,720,721,11.530560025825084,11.585003754640255,10.392182828878635,8.193836834828726,8.140444182439136
carts_delay,carts,delay,1,cpu,user,720,721,13.753133999474601,13.51936651366411,14.46149402778543,5.936347640223969,5.853732915282183
