scenario,target_service,fault_type,run_id,metric,other_service,n_pre,n_post,causal_RB~WB_pre,causal_RB~WB_post,causal_RB~WB_degrade,assoc_RB~RA_pre,assoc_RB~RA_post,assoc_RB~RA_degrade,assoc_RB~WA_pre,assoc_RB~WA_post,assoc_RB~WA_degrade
carts_delay,carts,delay,2,cpu,front-end,720,721,10.358,5.709,-4.648,10.507,6.283,-4.223,10.413,5.583,-4.831
carts_delay,carts,delay,2,cpu,catalogue,720,721,7.392,12.43,5.037,7.751,14.853,7.102,7.701,13.511,5.81
carts_delay,carts,delay,2,cpu,user,720,721,10.907,6.519,-4.388,10.935,7.831,-3.104,10.913,7.385,-3.529
carts_delay,carts,delay,2,cpu,orders,720,721,65.985,74.193,8.208,66.227,84.152,17.925,66.193,73.631,7.438
carts_delay,carts,delay,2,cpu,payment,720,721,7.593,12.035,4.442,7.681,12.444,4.762,7.71,12.044,4.334
carts_delay,carts,delay,2,cpu,shipping,720,721,62.992,90.195,27.203,62.992,90.195,27.203,62.992,90.195,27.203
carts_delay,carts,delay,2,mem,front-end,720,721,3.797,3.384,-0.413,3.821,3.555,-0.265,3.825,3.521,-0.303
carts_delay,carts,delay,2,mem,catalogue,720,721,0.321,1.036,0.715,0.32,0.374,0.054,0.321,1.036,0.715
carts_delay,carts,delay,2,mem,user,720,721,0.13,0.435,0.305,0.131,0.297,0.166,0.131,0.433,0.302
carts_delay,carts,delay,2,mem,orders,720,721,0.088,0.126,0.039,0.088,0.126,0.039,0.089,0.119,0.03
carts_delay,carts,delay,2,mem,payment,720,721,0.68,1.437,0.757,0.677,2.492,1.815,0.68,1.437,0.757
carts_delay,carts,delay,2,mem,shipping,720,721,0.044,0.052,0.008,0.043,0.185,0.141,0.044,0.051,0.008
carts_delay,carts,delay,3,cpu,front-end,720,721,6.876,10.032,3.157,6.873,12.087,5.214,6.902,12.029,5.128
carts_delay,carts,delay,3,cpu,catalogue,720,721,5.856,9.989,4.134,6.1,11.531,5.431,6.09,11.085,4.995
carts_delay,carts,delay,3,cpu,user,720,719,8.087,11.705,3.618,8.031,13.5,5.469,8.031,13.5,5.469
carts_delay,carts,delay,3,cpu,orders,720,721,23.296,21.735,-1.561,23.424,22.182,-1.242,23.327,22.37,-0.957
carts_delay,carts,delay,3,cpu,payment,720,721,9.718,11.24,1.522,9.718,11.24,1.522,9.718,11.24,1.522
carts_delay,carts,delay,3,cpu,shipping,720,719,32.594,43.966,11.372,32.347,45.099,12.752,32.723,46.598,13.875
carts_delay,carts,delay,3,mem,front-end,720,721,3.365,3.533,0.168,3.354,4.528,1.174,3.365,3.533,0.168
carts_delay,carts,delay,3,mem,catalogue,720,721,0.398,0.45,0.052,0.401,0.747,0.346,0.398,0.432,0.034
carts_delay,carts,delay,3,mem,user,720,721,0.084,0.367,0.283,0.086,0.42,0.334,0.085,0.365,0.28
carts_delay,carts,delay,3,mem,orders,720,721,0.033,0.041,0.009,0.033,0.041,0.009,0.033,0.041,0.009
carts_delay,carts,delay,3,mem,payment,720,721,0.416,0.641,0.225,0.35,1.956,1.607,0.416,0.645,0.229
carts_delay,carts,delay,3,mem,shipping,720,721,0.007,0.167,0.16,0.007,0.167,0.159,0.007,0.167,0.16
carts_disk,carts,disk,1,cpu,front-end,720,721,8.073,6.238,-1.835,8.221,6.205,-2.016,8.221,6.264,-1.956
carts_disk,carts,disk,1,cpu,catalogue,720,721,7.617,7.978,0.361,7.564,26.908,19.344,7.693,8.289,0.595
carts_disk,carts,disk,1,cpu,user,720,721,10.835,7.143,-3.691,10.817,9.679,-1.137,10.834,7.265,-3.568
carts_disk,carts,disk,1,cpu,orders,720,721,15.492,24.037,8.545,15.786,24.171,8.385,15.694,24.195,8.501
carts_disk,carts,disk,1,cpu,payment,720,721,6.494,6.697,0.203,6.487,6.688,0.2,6.487,6.688,0.2
carts_disk,carts,disk,1,cpu,shipping,720,721,37.453,42.71,5.257,33.425,514.635,481.209,37.46,42.688,5.228
carts_disk,carts,disk,1,mem,front-end,720,721,3.702,3.666,-0.037,3.674,54.069,50.395,3.702,3.666,-0.037
carts_disk,carts,disk,1,mem,catalogue,720,721,0.346,0.79,0.444,0.206,32.868,32.662,0.346,0.79,0.444
carts_disk,carts,disk,1,mem,user,720,721,0.635,2.374,1.739,0.458,48.9,48.442,0.634,2.374,1.74
carts_disk,carts,disk,1,mem,orders,720,721,0.057,0.094,0.037,0.056,1.729,1.673,0.058,0.094,0.036
