scenario,target_service,fault_type,run_id,metric,other_service,n_pre,n_post,causal_RB~WB_pre,causal_RB~WB_post,causal_RB~WB_degrade,assoc_RB~RA_pre,assoc_RB~RA_post,assoc_RB~RA_degrade,assoc_RB~WA_pre,assoc_RB~WA_post,assoc_RB~WA_degrade
carts_socket,carts,socket,3,mem,shipping,720,721,0.023,0.118,0.095,0.023,0.824,0.801,0.023,0.118,0.094
catalogue_cpu,catalogue,cpu,1,cpu,front-end,593,721,9.095,8.62,-0.475,9.056,13442.667,13433.611,10.053,8.392,-1.661
catalogue_cpu,catalogue,cpu,1,cpu,user,720,721,26.008,12.325,-13.683,34.392,32122.576,32088.184,68.737,12.225,-56.512
catalogue_cpu,catalogue,cpu,1,cpu,carts,720,721,25.104,11.239,-13.865,22.126,31868.534,31846.409,41.143,9.451,-31.692
catalogue_cpu,catalogue,cpu,1,cpu,orders,720,720,32.088,23.897,-8.191,34.558,33423.075,33388.517,51.901,19.205,-32.696
catalogue_cpu,catalogue,cpu,1,cpu,payment,720,721,18.205,14.466,-3.739,15.229,16893.263,16878.034,18.282,14.015,-4.267
catalogue_cpu,catalogue,cpu,1,cpu,shipping,720,721,52.718,98.883,46.165,57.372,49286.933,49229.561,63.896,89.671,25.775
catalogue_cpu,catalogue,cpu,1,mem,front-end,703,721,74.336,4.319,-70.018,72.812,148.494,75.682,78.831,5.386,-73.446
catalogue_cpu,catalogue,cpu,1,mem,user,720,721,1.165,1.008,-0.157,0.681,41.823,41.142,1.746,1.117,-0.63
catalogue_cpu,catalogue,cpu,1,mem,carts,720,721,0.052,0.061,0.009,0.031,0.76,0.729,0.055,0.065,0.01
catalogue_cpu,catalogue,cpu,1,mem,orders,720,721,0.105,0.141,0.035,0.105,0.141,0.035,0.105,0.141,0.035
catalogue_cpu,catalogue,cpu,1,mem,payment,720,721,4.883,4.332,-0.55,2.324,69.533,67.208,5.058,4.646,-0.412
catalogue_cpu,catalogue,cpu,1,mem,shipping,720,721,0.107,0.023,-0.084,0.109,0.495,0.385,0.108,0.019,-0.089
catalogue_cpu,catalogue,cpu,2,cpu,front-end,538,721,11.232,10.411,-0.821,11.547,17942.84,17931.293,12.537,10.528,-2.009
catalogue_cpu,catalogue,cpu,2,cpu,user,720,721,29.015,11.806,-17.209,273.355,10124.399,9851.045,78.703,13.255,-65.448
catalogue_cpu,catalogue,cpu,2,cpu,carts,720,721,41.471,35.395,-6.077,328.383,12528.506,12200.123,62.159,32.946,-29.213
catalogue_cpu,catalogue,cpu,2,cpu,orders,720,721,84.123,109.165,25.042,407.725,26586.33,26178.605,136.438,103.728,-32.71
catalogue_cpu,catalogue,cpu,2,cpu,payment,720,721,14.408,13.79,-0.619,34.56,7144.185,7109.624,18.512,13.824,-4.688
catalogue_cpu,catalogue,cpu,2,cpu,shipping,720,721,41.342,46.741,5.399,121.821,12646.276,12524.455,54.093,45.042,-9.051
catalogue_cpu,catalogue,cpu,2,mem,front-end,699,721,85.236,3.754,-81.482,86.663,128.092,41.43,87.868,4.463,-83.405
catalogue_cpu,catalogue,cpu,2,mem,user,720,721,1.152,4.979,3.827,1.23,30.126,28.895,1.453,5.414,3.961
catalogue_cpu,catalogue,cpu,2,mem,carts,720,721,0.207,0.942,0.735,0.156,1.153,0.997,0.215,0.951,0.736
catalogue_cpu,catalogue,cpu,2,mem,orders,720,721,0.147,0.454,0.307,0.099,1.389,1.29,0.156,0.462,0.306
catalogue_cpu,catalogue,cpu,2,mem,payment,720,721,4.819,5.205,0.386,2.5,63.424,60.924,5.287,5.533,0.246
catalogue_cpu,catalogue,cpu,2,mem,shipping,720,721,0.12,0.438,0.318,0.095,0.764,0.67,0.126,0.444,0.318
catalogue_cpu,catalogue,cpu,3,cpu,front-end,720,721,8.496,7.309,-1.187,8.484,7.833,-0.651,8.306,7.267,-1.039
catalogue_cpu,catalogue,cpu,3,cpu,user,720,721,8.72,8.99,0.269,8.868,9.271,0.402,8.715,9.192,0.477
catalogue_cpu,catalogue,cpu,3,cpu,carts,717,718,22.695,30.423,7.729,24.297,31.896,7.599,24.021,31.111,7.09
catalogue_cpu,catalogue,cpu,3,cpu,orders,719,721,26.701,32.927,6.226,26.701,32.927,6.226,26.718,32.425,5.707
catalogue_cpu,catalogue,cpu,3,cpu,payment,720,721,7.5,7.283,-0.216,7.508,7.279,-0.229,7.496,7.32,-0.177
catalogue_cpu,catalogue,cpu,3,cpu,shipping,720,721,33.689,50.982,17.293,31.111,607.702,576.591,33.689,50.982,17.293
catalogue_cpu,catalogue,cpu,3,mem,front-end,720,721,3.475,3.692,0.217,3.424,49.701,46.277,3.476,3.651,0.176
catalogue_cpu,catalogue,cpu,3,mem,user,720,721,0.695,1.057,0.362,0.695,1.057,0.362,0.695,1.057,0.362
catalogue_cpu,catalogue,cpu,3,mem,carts,720,721,0.23,0.975,0.744,0.159,19.12,18.96,0.23,0.975,0.744
catalogue_cpu,catalogue,cpu,3,mem,orders,720,721,0.043,0.085,0.041,0.043,0.085,0.042,0.043,0.085,0.042
catalogue_cpu,catalogue,cpu,3,mem,payment,720,721,0.302,0.84,0.537,0.271,10.53,10.26,0.3,0.837,0.537
catalogue_cpu,catalogue,cpu,3,mem,shipping,720,721,0.022,0.054,0.032,0.022,0.054,0.031,0.022,0.054,0.032
catalogue_delay,catalogue,delay,1,cpu,front-end,718,719,9.833,8.141,-1.692,9.824,7.965,-1.86,9.834,8.165,-1.669
catalogue_delay,catalogue,delay,1,cpu,user,718,719,6.626,8.297,1.67,6.727,9.592,2.864,6.786,8.52,1.734
catalogue_delay,catalogue,delay,1,cpu,carts,718,719,6.384,6.974,0.59,6.598,7.109,0.511,6.497,7.034,0.537
catalogue_delay,catalogue,delay,1,cpu,orders,718,719,8.952,9.858,0.906,8.863,11.333,2.47,8.986,9.912,0.926
catalogue_delay,catalogue,delay,1,cpu,payment,718,719,8.382,10.649,2.267,8.381,10.769,2.388,8.373,10.626,2.253
catalogue_delay,catalogue,delay,1,cpu,shipping,718,719,7.425,12.903,5.478,7.442,12.925,5.484,7.442,12.925,5.484
catalogue_delay,catalogue,delay,1,mem,front-end,720,721,5.385,3.295,-2.09,5.405,3.276,-2.129,5.327,3.332,-1.994
catalogue_delay,catalogue,delay,1,mem,user,720,721,0.13,0.172,0.042,0.124,0.11,-0.014,0.129,0.17,0.041
catalogue_delay,catalogue,delay,1,mem,carts,720,721,0.021,0.042,0.022,0.018,0.023,0.005,0.021,0.042,0.022
catalogue_delay,catalogue,delay,1,mem,orders,720,721,0.007,0.009,0.002,0.007,0.009,0.002,0.007,0.009,0.001
catalogue_delay,catalogue,delay,1,mem,payment,720,721,0.118,0.282,0.164,0.116,0.277,0.161,0.118,0.282,0.164
catalogue_delay,catalogue,delay,1,mem,shipping,720,721,0.001,0.018,0.017,0.001,0.018,0.018,0.001,0.018,0.017
catalogue_delay,catalogue,delay,2,cpu,front-end,720,720,8.913,7.732,-1.181,8.993,7.897,-1.095,8.851,7.989,-0.862
catalogue_delay,catalogue,delay,2,cpu,user,720,721,8.465,8.492,0.027,8.479,8.491,0.013,8.26,8.637,0.377
catalogue_delay,catalogue,delay,2,cpu,carts,720,721,8.937,8.746,-0.191,9.038,8.791,-0.247,8.727,8.879,0.152
catalogue_delay,catalogue,delay,2,cpu,orders,720,721,52.932,64.53,11.598,52.932,64.53,11.598,52.932,64.53,11.598
catalogue_delay,catalogue,delay,2,cpu,payment,720,721,8.053,8.048,-0.005,8.042,7.982,-0.06,8.053,7.983,-0.07
catalogue_delay,catalogue,delay,2,cpu,shipping,720,721,44.326,43.946,-0.38,44.811,46.086,1.275,44.811,46.086,1.275
catalogue_delay,catalogue,delay,2,mem,front-end,720,721,3.551,3.624,0.073,3.52,3.71,0.19,3.551,3.621,0.07
catalogue_delay,catalogue,delay,2,mem,user,720,721,0.485,0.71,0.225,0.476,0.292,-0.183,0.488,0.701,0.212
catalogue_delay,catalogue,delay,2,mem,carts,720,721,0.013,0.017,0.003,0.013,0.011,-0.002,0.013,0.017,0.003
catalogue_delay,catalogue,delay,2,mem,orders,720,721,0.055,0.126,0.071,0.055,0.126,0.071,0.055,0.123,0.068
catalogue_delay,catalogue,delay,2,mem,payment,720,721,0.227,0.228,0.0,0.226,0.224,-0.002,0.228,0.239,0.011
catalogue_delay,catalogue,delay,2,mem,shipping,720,721,0.036,0.07,0.033,0.036,0.027,-0.01,0.036,0.07,0.033
catalogue_delay,catalogue,delay,3,cpu,front-end,720,717,9.118,12.935,3.816,9.089,12.541,3.452,9.118,12.935,3.816
catalogue_delay,catalogue,delay,3,cpu,user,720,717,6.365,142.607,136.243,6.365,142.607,136.243,6.365,142.607,136.243
catalogue_delay,catalogue,delay,3,cpu,carts,720,717,44.845,339.258,294.412,41.54,306.452,264.912,45.143,411.486,366.342
catalogue_delay,catalogue,delay,3,cpu,orders,720,717,45.086,331.378,286.292,39.796,239.612,199.815,45.086,331.378,286.292
catalogue_delay,catalogue,delay,3,cpu,payment,720,717,16.922,17.097,0.175,17.008,19.47,2.461,17.008,19.47,2.461
catalogue_delay,catalogue,delay,3,cpu,shipping,720,717,51.499,170.808,119.309,46.099,141.207,95.107,51.499,170.808,119.309
catalogue_delay,catalogue,delay,3,mem,front-end,720,721,7.896,11.162,3.266,7.364,11.324,3.96,7.896,11.162,3.266
catalogue_delay,catalogue,delay,3,mem,user,720,721,6.728,8.763,2.036,4.082,8.161,4.079,6.728,8.763,2.036
catalogue_delay,catalogue,delay,3,mem,carts,720,721,3.93,1.692,-2.238,3.009,7.353,4.344,3.972,0.216,-3.756
catalogue_delay,catalogue,delay,3,mem,orders,720,721,9.17,3.947,-5.223,8.789,8.404,-0.385,9.178,4.425,-4.753
catalogue_delay,catalogue,delay,3,mem,payment,720,721,8.285,8.835,0.55,6.831,15.768,8.937,8.285,8.835,0.55
catalogue_delay,catalogue,delay,3,mem,shipping,720,721,8.133,4.033,-4.101,7.609,9.514,1.905,8.157,4.627,-3.53
catalogue_disk,catalogue,disk,1,cpu,front-end,718,721,12.853,10.255,-2.598,9.39,3673.995,3664.606,10.102,10.126,0.024
catalogue_disk,catalogue,disk,1,cpu,user,718,721,22.939,11.914,-11.025,23.168,10395.514,10372.346,48.687,12.067,-36.62
catalogue_disk,catalogue,disk,1,cpu,carts,718,721,18.779,10.447,-8.331,18.655,9805.858,9787.203,37.826,11.878,-25.948
catalogue_disk,catalogue,disk,1,cpu,orders,718,721,31.127,14.104,-17.023,27.382,9632.876,9605.494,38.108,15.019,-23.089
catalogue_disk,catalogue,disk,1,cpu,payment,718,721,16.62,11.682,-4.938,16.533,6019.71,6003.177,19.867,10.619,-9.249
catalogue_disk,catalogue,disk,1,cpu,shipping,718,721,13.412,12.929,-0.483,11.603,5913.637,5902.035,13.747,12.68,-1.067
catalogue_disk,catalogue,disk,1,mem,front-end,720,721,42.798,43.935,1.138,13.871,9481.392,9467.521,42.798,43.935,1.138
catalogue_disk,catalogue,disk,1,mem,user,720,721,0.251,0.396,0.145,0.366,0.514,0.148,0.274,0.416,0.142
catalogue_disk,catalogue,disk,1,mem,carts,720,721,0.249,0.579,0.33,0.735,0.968,0.233,0.302,0.629,0.327
catalogue_disk,catalogue,disk,1,mem,orders,720,721,0.01,0.014,0.004,0.015,0.011,-0.005,0.009,0.014,0.005
catalogue_disk,catalogue,disk,1,mem,payment,720,721,0.191,0.817,0.626,0.151,20.285,20.134,0.191,0.817,0.626
catalogue_disk,catalogue,disk,1,mem,shipping,720,721,0.001,0.001,0.0,0.001,0.038,0.037,0.001,0.001,0.0
catalogue_disk,catalogue,disk,2,cpu,front-end,720,721,6.495,7.861,1.366,6.573,605.028,598.455,6.495,7.861,1.366
catalogue_disk,catalogue,disk,2,cpu,user,719,721,9.885,10.268,0.383,9.911,35.474,25.563,9.885,10.268,0.383
catalogue_disk,catalogue,disk,2,cpu,carts,720,721,46.908,120.488,73.58,42.254,13416.391,13374.137,46.908,120.488,73.58
catalogue_disk,catalogue,disk,2,cpu,orders,720,721,44.816,123.635,78.819,38.517,21932.648,21894.131,44.816,123.635,78.819
catalogue_disk,catalogue,disk,2,cpu,payment,720,721,8.639,10.759,2.119,8.683,10.719,2.036,8.683,10.719,2.036
catalogue_disk,catalogue,disk,2,cpu,shipping,720,721,71.585,125.132,53.547,55.005,32961.099,32906.094,71.585,125.132,53.547
catalogue_disk,catalogue,disk,2,mem,front-end,720,721,10.813,7.502,-3.311,9.466,154.151,144.685,10.813,7.502,-3.311
catalogue_disk,catalogue,disk,2,mem,user,720,721,6.907,11.895,4.988,5.51,170.608,165.099,6.907,11.895,4.988
catalogue_disk,catalogue,disk,2,mem,carts,720,721,6.526,2.133,-4.393,4.835,170.521,165.687,6.526,2.133,-4.393
catalogue_disk,catalogue,disk,2,mem,orders,720,721,10.66,5.59,-5.07,8.991,179.973,170.982,10.66,5.59,-5.07
catalogue_disk,catalogue,disk,2,mem,payment,720,721,12.377,10.215,-2.162,11.863,120.654,108.791,12.377,10.215,-2.162
catalogue_disk,catalogue,disk,2,mem,shipping,720,721,11.102,7.252,-3.85,9.532,173.335,163.803,11.102,7.252,-3.85
catalogue_disk,catalogue,disk,3,cpu,front-end,720,719,6.618,7.28,0.661,6.617,7.267,0.65,6.618,7.28,0.661
catalogue_disk,catalogue,disk,3,cpu,user,720,719,6.178,10.936,4.759,6.166,11.485,5.319,6.178,10.936,4.759
catalogue_disk,catalogue,disk,3,cpu,carts,720,719,23.751,30.526,6.775,24.584,31.115,6.531,24.507,30.964,6.458
catalogue_disk,catalogue,disk,3,cpu,orders,720,719,15.355,31.957,16.602,15.442,32.801,17.358,15.461,31.983,16.523
catalogue_disk,catalogue,disk,3,cpu,payment,720,719,9.372,11.707,2.334,9.378,11.678,2.3,9.378,11.678,2.3
catalogue_disk,catalogue,disk,3,cpu,shipping,720,719,39.684,62.24,22.557,38.5,311.992,273.492,39.745,61.077,21.331
catalogue_disk,catalogue,disk,3,mem,front-end,720,721,3.966,3.573,-0.394,3.966,3.573,-0.394,3.966,3.573,-0.394
catalogue_disk,catalogue,disk,3,mem,user,720,721,0.573,1.377,0.803,0.237,17296.916,17296.679,0.571,1.373,0.802
catalogue_disk,catalogue,disk,3,mem,carts,720,721,0.482,0.956,0.474,0.235,13158.729,13158.494,0.482,0.956,0.474
catalogue_disk,catalogue,disk,3,mem,orders,720,721,0.074,0.058,-0.016,0.065,1187.88,1187.815,0.074,0.058,-0.016
catalogue_disk,catalogue,disk,3,mem,payment,720,721,0.387,1.266,0.88,0.325,8922.253,8921.928,0.387,1.266,0.88
catalogue_disk,catalogue,disk,3,mem,shipping,720,721,0.108,0.212,0.104,0.046,3014.521,3014.475,0.108,0.212,0.104
catalogue_loss,catalogue,loss,1,cpu,front-end,720,585,9.82,43.404,33.584,9.709,35.144,25.436,9.812,43.673,33.86
catalogue_loss,catalogue,loss,1,cpu,user,720,720,7.25,699.804,692.554,7.381,731.766,724.385,7.38,777.601,770.221
catalogue_loss,catalogue,loss,1,cpu,carts,720,721,7.79,477.508,469.718,7.736,411.811,404.075,7.789,468.574,460.786
catalogue_loss,catalogue,loss,1,cpu,orders,720,721,13.4,373.996,360.596,13.383,334.436,321.052,13.4,373.996,360.596
catalogue_loss,catalogue,loss,1,cpu,payment,720,721,7.874,73.246,65.371,7.908,87.996,80.088,7.907,87.061,79.154
catalogue_loss,catalogue,loss,1,cpu,shipping,720,721,14.536,119.665,105.129,14.976,55.489,40.513,14.536,119.665,105.129
catalogue_loss,catalogue,loss,1,mem,front-end,720,721,3.88,48.41,44.529,3.975,39.619,35.644,3.903,46.657,42.754
catalogue_loss,catalogue,loss,1,mem,user,720,721,0.555,1.066,0.512,0.281,21.272,20.99,0.553,0.886,0.333
catalogue_loss,catalogue,loss,1,mem,carts,720,721,0.005,0.03,0.025,0.005,0.014,0.01,0.005,0.024,0.019
catalogue_loss,catalogue,loss,1,mem,orders,720,721,0.022,0.075,0.053,0.022,0.156,0.135,0.022,0.078,0.056
catalogue_loss,catalogue,loss,1,mem,payment,720,721,0.03,1.558,1.528,0.03,1.565,1.534,0.03,1.558,1.528
catalogue_loss,catalogue,loss,1,mem,shipping,720,721,0.018,0.011,-0.007,0.015,0.944,0.929,0.018,0.015,-0.003
catalogue_loss,catalogue,loss,2,cpu,front-end,720,689,11.379,31.392,20.013,12.859,39.224,26.364,9.899,19.017,9.118
catalogue_loss,catalogue,loss,2,cpu,user,720,718,31.435,99.586,68.151,129.322,610.602,481.28,52.617,111.723,59.106
catalogue_loss,catalogue,loss,2,cpu,carts,720,718,62.489,149.66,87.17,195.895,834.763,638.869,90.185,195.282,105.098
catalogue_loss,catalogue,loss,2,cpu,orders,720,718,33.962,128.522,94.561,73.8,372.05,298.251,42.348,109.653,67.304
catalogue_loss,catalogue,loss,2,cpu,payment,720,718,13.127,27.407,14.28,22.904,71.572,48.667,14.835,30.477,15.642
catalogue_loss,catalogue,loss,2,cpu,shipping,720,718,50.871,106.454,55.582,63.411,213.74,150.329,52.249,77.464,25.215
catalogue_loss,catalogue,loss,2,mem,front-end,720,721,37.725,31.613,-6.112,13.031,20.273,7.242,37.725,31.613,-6.112
catalogue_loss,catalogue,loss,2,mem,user,720,721,1.014,3.536,2.522,1.334,2.024,0.69,1.106,3.241,2.134
catalogue_loss,catalogue,loss,2,mem,carts,720,721,0.295,1.152,0.857,0.329,0.867,0.538,0.299,1.113,0.814
catalogue_loss,catalogue,loss,2,mem,orders,720,721,0.047,0.145,0.098,0.058,0.086,0.028,0.049,0.158,0.109
catalogue_loss,catalogue,loss,2,mem,payment,720,721,0.96,2.801,1.841,0.986,2.729,1.743,0.965,2.85,1.885
catalogue_loss,catalogue,loss,2,mem,shipping,720,721,0.099,0.401,0.301,0.112,0.333,0.221,0.098,0.405,0.306
catalogue_loss,catalogue,loss,3,cpu,front-end,720,701,5.973,40.934,34.961,6.048,47.874,41.826,5.739,32.673,26.934
catalogue_loss,catalogue,loss,3,cpu,user,720,721,8.426,786.483,778.057,8.426,786.483,778.057,8.426,786.483,778.057
catalogue_loss,catalogue,loss,3,cpu,carts,720,721,18.152,604.994,586.841,17.256,530.546,513.29,18.152,604.994,586.841
catalogue_loss,catalogue,loss,3,cpu,orders,720,719,24.744,490.966,466.222,24.744,490.966,466.222,24.8,352.218,327.417
catalogue_loss,catalogue,loss,3,cpu,payment,720,721,11.262,70.906,59.644,11.299,79.573,68.275,11.268,81.577,70.308
catalogue_loss,catalogue,loss,3,cpu,shipping,720,721,31.393,179.834,148.441,31.393,179.834,148.441,31.286,94.203,62.917
catalogue_loss,catalogue,loss,3,mem,front-end,720,721,4.015,38.618,34.603,3.955,34.956,31.001,4.015,38.618,34.603
catalogue_loss,catalogue,loss,3,mem,user,720,721,0.306,1.112,0.806,0.194,4.19,3.996,0.307,1.117,0.809
catalogue_loss,catalogue,loss,3,mem,carts,720,721,0.463,0.522,0.059,0.463,0.522,0.059,0.463,0.474,0.011
catalogue_loss,catalogue,loss,3,mem,orders,720,721,0.028,0.067,0.04,0.028,0.088,0.06,0.028,0.088,0.06
catalogue_loss,catalogue,loss,3,mem,payment,720,721,0.628,0.883,0.255,0.242,15.385,15.143,0.626,1.246,0.621
catalogue_loss,catalogue,loss,3,mem,shipping,720,721,0.023,0.024,0.001,0.023,0.024,0.001,0.023,0.021,-0.002
catalogue_mem,catalogue,mem,1,cpu,front-end,720,721,7.866,11.482,3.616,7.888,654.773,646.885,7.851,11.369,3.518
catalogue_mem,catalogue,mem,1,cpu,user,720,720,6.955,9.522,2.568,6.971,1336.563,1329.592,7.113,9.3,2.187
catalogue_mem,catalogue,mem,1,cpu,carts,720,721,67.083,67.179,0.096,56.047,93890.572,93834.524,65.906,72.183,6.277
catalogue_mem,catalogue,mem,1,cpu,orders,720,721,20.723,17.324,-3.399,20.723,17.324,-3.399,20.723,17.324,-3.399
catalogue_mem,catalogue,mem,1,cpu,payment,720,721,8.607,9.714,1.107,8.607,9.714,1.107,8.607,9.695,1.088
catalogue_mem,catalogue,mem,1,cpu,shipping,720,721,39.113,42.277,3.164,39.406,41.725,2.318,38.923,42.609,3.686
catalogue_mem,catalogue,mem,1,mem,front-end,720,721,3.651,3.484,-0.167,3.715,3.506,-0.209,3.647,3.449,-0.199
catalogue_mem,catalogue,mem,1,mem,user,720,721,0.289,0.807,0.518,0.198,4151.39,4151.192,0.287,0.81,0.523
catalogue_mem,catalogue,mem,1,mem,carts,720,721,0.246,0.13,-0.116,0.251,0.118,-0.132,0.245,0.128,-0.117
catalogue_mem,catalogue,mem,1,mem,orders,720,721,0.092,0.149,0.057,0.089,534.741,534.651,0.092,0.149,0.057
catalogue_mem,catalogue,mem,1,mem,payment,720,721,0.095,1.274,1.179,0.095,1.274,1.179,0.095,1.274,1.179
catalogue_mem,catalogue,mem,1,mem,shipping,720,721,0.027,0.063,0.036,0.027,0.063,0.036,0.027,0.063,0.036
catalogue_mem,catalogue,mem,2,cpu,front-end,720,720,5.89,6.357,0.467,5.806,19.453,13.647,5.893,6.101,0.208
catalogue_mem,catalogue,mem,2,cpu,user,720,720,8.573,6.755,-1.818,8.535,14.595,6.06,8.755,6.808,-1.948
catalogue_mem,catalogue,mem,2,cpu,carts,720,720,6.389,11.108,4.719,6.309,17.392,11.083,6.303,10.715,4.412
catalogue_mem,catalogue,mem,2,cpu,orders,720,720,15.943,17.571,1.628,13.938,188.962,175.024,15.943,17.571,1.628
catalogue_mem,catalogue,mem,2,cpu,payment,720,720,9.086,7.835,-1.251,9.001,26.344,17.343,9.086,7.835,-1.251
catalogue_mem,catalogue,mem,2,cpu,shipping,719,720,15.499,21.408,5.909,15.098,40.162,25.063,15.516,21.488,5.972
catalogue_mem,catalogue,mem,2,mem,front-end,720,721,3.44,3.564,0.124,3.445,3.544,0.099,3.445,3.544,0.099
catalogue_mem,catalogue,mem,2,mem,user,720,721,0.27,0.596,0.327,0.27,0.592,0.322,0.27,0.595,0.325
catalogue_mem,catalogue,mem,2,mem,carts,720,721,0.009,0.008,-0.0,0.009,0.008,-0.001,0.009,0.008,-0.001
catalogue_mem,catalogue,mem,2,mem,orders,720,721,0.064,0.059,-0.006,0.059,302.584,302.525,0.065,0.059,-0.006
catalogue_mem,catalogue,mem,2,mem,payment,720,721,0.183,0.71,0.528,0.183,0.708,0.525,0.183,0.708,0.525
catalogue_mem,catalogue,mem,2,mem,shipping,720,721,0.129,0.262,0.133,0.119,667.816,667.697,0.129,0.262,0.133
catalogue_mem,catalogue,mem,3,cpu,front-end,720,721,6.473,7.372,0.899,6.489,7.638,1.149,6.522,7.48,0.959
catalogue_mem,catalogue,mem,3,cpu,user,720,721,8.859,12.271,3.413,8.896,11.914,3.018,8.842,12.229,3.387
catalogue_mem,catalogue,mem,3,cpu,carts,720,721,22.337,15.006,-7.331,22.341,15.019,-7.322,21.872,14.878,-6.994
catalogue_mem,catalogue,mem,3,cpu,orders,720,721,37.092,41.57,4.477,37.369,41.369,3.999,37.369,41.369,3.999
catalogue_mem,catalogue,mem,3,cpu,payment,720,721,8.083,7.517,-0.566,7.986,11.814,3.827,7.962,7.485,-0.477
catalogue_mem,catalogue,mem,3,cpu,shipping,720,721,80.584,108.245,27.661,80.647,108.188,27.541,80.647,108.188,27.541
catalogue_mem,catalogue,mem,3,mem,front-end,720,721,3.813,3.401,-0.412,3.82,3.413,-0.406,3.814,3.4,-0.414
catalogue_mem,catalogue,mem,3,mem,user,720,721,0.171,1.976,1.805,0.149,3014.698,3014.55,0.17,1.976,1.805
catalogue_mem,catalogue,mem,3,mem,carts,720,721,0.083,0.061,-0.022,0.082,171.268,171.186,0.085,0.062,-0.024
catalogue_mem,catalogue,mem,3,mem,orders,720,721,0.098,0.093,-0.005,0.09,1034.068,1033.978,0.098,0.093,-0.005
catalogue_mem,catalogue,mem,3,mem,payment,720,721,0.153,0.961,0.808,0.153,0.962,0.808,0.154,0.962,0.808
catalogue_mem,catalogue,mem,3,mem,shipping,720,721,0.26,0.086,-0.173,0.218,3067.156,3066.937,0.26,0.086,-0.173
catalogue_socket,catalogue,socket,1,cpu,front-end,720,721,7.463,7.57,0.107,7.471,1918.302,1910.831,7.472,7.444,-0.029
catalogue_socket,catalogue,socket,1,cpu,user,720,721,8.299,7.459,-0.84,8.217,4247.291,4239.074,8.349,7.435,-0.914
catalogue_socket,catalogue,socket,1,cpu,carts,720,721,22.118,16.178,-5.94,22.024,3506.75,3484.726,21.933,16.001,-5.932
catalogue_socket,catalogue,socket,1,cpu,orders,720,721,8.789,9.79,1.002,8.642,3906.777,3898.134,8.79,9.79,1.001
catalogue_socket,catalogue,socket,1,cpu,payment,720,721,15.193,9.852,-5.341,15.085,6528.17,6513.085,15.269,9.827,-5.442
catalogue_socket,catalogue,socket,1,cpu,shipping,720,721,7.856,7.276,-0.58,7.899,13.999,6.1,7.92,7.459,-0.461
catalogue_socket,catalogue,socket,1,mem,front-end,720,721,3.696,3.769,0.074,3.64,74.799,71.16,3.695,3.769,0.074
catalogue_socket,catalogue,socket,1,mem,user,720,721,0.106,0.121,0.016,0.101,7.246,7.145,0.107,0.121,0.014
catalogue_socket,catalogue,socket,1,mem,carts,720,721,0.152,0.505,0.353,0.11,17.391,17.282,0.152,0.505,0.353
catalogue_socket,catalogue,socket,1,mem,orders,720,721,0.014,0.011,-0.003,0.014,0.238,0.224,0.014,0.011,-0.003
catalogue_socket,catalogue,socket,1,mem,payment,720,721,0.077,0.884,0.807,0.077,0.884,0.807,0.077,0.884,0.807
catalogue_socket,catalogue,socket,1,mem,shipping,720,721,0.004,0.001,-0.003,0.004,0.001,-0.003,0.004,0.001,-0.003
catalogue_socket,catalogue,socket,2,cpu,front-end,720,721,6.352,8.211,1.86,6.362,22.023,15.661,6.023,8.318,2.295
catalogue_socket,catalogue,socket,2,cpu,user,720,718,9.677,10.766,1.089,9.667,15.179,5.512,9.566,10.95,1.383
catalogue_socket,catalogue,socket,2,cpu,carts,720,721,12.163,9.617,-2.546,12.112,9.421,-2.691,11.783,10.334,-1.449
catalogue_socket,catalogue,socket,2,cpu,orders,720,721,19.382,16.242,-3.14,19.396,16.257,-3.139,19.359,16.21,-3.15
catalogue_socket,catalogue,socket,2,cpu,payment,720,721,10.601,8.451,-2.15,10.53,51.307,40.777,10.554,8.33,-2.224
catalogue_socket,catalogue,socket,2,cpu,shipping,720,721,25.05,22.568,-2.482,25.0,45.178,20.179,25.772,23.74,-2.033
catalogue_socket,catalogue,socket,2,mem,front-end,720,721,3.324,3.28,-0.044,3.36,3.278,-0.082,3.36,3.278,-0.082
catalogue_socket,catalogue,socket,2,mem,user,720,721,0.177,1.311,1.134,0.131,58.288,58.158,0.177,1.311,1.134
catalogue_socket,catalogue,socket,2,mem,carts,720,721,0.221,0.112,-0.109,0.221,0.111,-0.11,0.221,0.111,-0.11
catalogue_socket,catalogue,socket,2,mem,orders,720,721,0.053,0.109,0.056,0.03,16.479,16.449,0.053,0.109,0.056
catalogue_socket,catalogue,socket,2,mem,payment,720,721,0.198,0.813,0.616,0.164,22.073,21.909,0.197,0.814,0.616
catalogue_socket,catalogue,socket,2,mem,shipping,720,721,0.01,0.023,0.013,0.009,3.94,3.931,0.01,0.023,0.013
catalogue_socket,catalogue,socket,3,cpu,front-end,720,721,10.193,8.62,-1.573,10.215,8.5,-1.715,10.202,8.667,-1.535
catalogue_socket,catalogue,socket,3,cpu,user,720,721,7.041,6.379,-0.662,7.038,12.99,5.952,6.767,6.599,-0.168
catalogue_socket,catalogue,socket,3,cpu,carts,720,721,7.973,16.683,8.709,7.995,16.796,8.801,7.977,16.429,8.452
catalogue_socket,catalogue,socket,3,cpu,orders,720,721,13.815,25.855,12.041,13.815,25.855,12.041,13.811,25.889,12.078
