label,target,repeat,scenario,true_tier,true_upstream,tier1_contrib,backpressure_contrib,tier2_contrib,strict_pred,strict_correct,upstream_pred,upstream_correct
SockShop,payment_cpu,1,tier2_driven,tier2,local,-0.0014258150365935168,0.0,0.5004278110445776,tier2,True,local,True
SockShop,payment_cpu,2,tier1_driven,tier1,upstream,0.006157684630738524,0.0,-0.41334331337325353,tier2,False,local,False
SockShop,payment_cpu,2,tier2_driven,tier2,local,-0.00038456420492353105,0.0,0.49938656021290756,tier2,True,local,True
SockShop,payment_cpu,3,tier1_driven,tier1,upstream,-0.069168995342648,0.0,-0.36596074517631394,tier2,False,local,False
SockShop,payment_cpu,3,tier2_driven,tier2,local,-0.0032894211576845744,0.0,0.5022914171656687,tier2,True,local,True
SockShop,payment_cpu,4,tier1_driven,tier1,upstream,-0.06809514304723885,0.0,-0.3750186294078509,tier2,False,local,False
SockShop,payment_cpu,4,tier2_driven,tier2,local,-0.001064537591483681,0.0,0.5000665335994677,tier2,True,local,True
SockShop,payment_cpu,5,tier1_driven,tier1,upstream,0.08600066533599471,0.0,-0.3015695276114438,tier2,False,local,False
SockShop,payment_cpu,5,tier2_driven,tier2,local,0.0003972055888223635,0.0,0.4986047904191617,tier2,True,local,True
SockShop,payment_cpu,6,tier1_driven,tier1,upstream,0.1091683300066534,0.0,-0.38062541583499665,tier2,False,local,False
SockShop,payment_cpu,6,tier2_driven,tier2,local,0.0014723885562209398,0.0,0.4975296074517631,tier2,True,local,True
SockShop,payment_cpu,7,tier1_driven,tier1,upstream,0.088127744510978,0.0,-0.2917205588822355,tier2,False,local,False
SockShop,payment_cpu,7,tier2_driven,tier2,local,0.00017697937458423702,0.0,0.49882501663339995,tier2,True,local,True
SockShop,payment_cpu,8,tier1_driven,tier1,upstream,-0.04357285429141712,0.0,-0.43546906187624757,tier2,False,local,False
SockShop,payment_cpu,8,tier2_driven,tier2,local,-0.0017817697937458632,0.0,0.5007837658017299,tier2,True,local,True
SockShop,payment_cpu,9,tier1_driven,tier1,upstream,-0.037705256154358005,0.0,-0.4213765801729874,tier2,False,local,False
SockShop,payment_cpu,9,tier2_driven,tier2,local,-0.0017192282102461522,0.0,0.5007212242182303,tier2,True,local,True
SockShop,shipping_cpu,0,tier1_driven,tier1,upstream,0.1070719893546241,-0.003942514970059874,-0.03526520292747836,tier1,True,upstream,True
SockShop,shipping_cpu,0,tier2_driven,tier2,local,-0.008245375914837,-0.056581902860944756,0.5598372588157019,tier2,True,local,True
