target_cpu,workload_node,tier1_hops,wl_base_mean,wl_base_std,intervened_mean,sigma_shift,pct_shift
ts-order-service_cpu,ts-order-service_workload,1,6.0410051457592235,1.9019651747407538,7.3504310134649895,0.688459434008431,21.675629073499152
ts-travel-service_cpu,ts-travel-service_workload,1,8.933728997471865,2.7921790726494273,10.829005448554437,0.6787804083368449,21.214841547341663
ts-seat-service_cpu,ts-seat-service_workload,1,8.858032440655972,1.367011125696132,9.678552603584702,0.6002293233062689,9.26300697616284
ts-user-service_cpu,ts-user-service_workload,1,0.23332729265946262,0.1497816816340245,0.4132725584915857,1.2013836663404545,77.12139620749393
