system,service,metric,model,mape_full_res_pct,rmse_full_res,r2_full_res,n_train,n_fit,n_test_full_res
TrainTicket,ts-food-service,CPU,SCM_Deployed,70.71,0.9869,0.004,43407,2000,21380
TrainTicket,ts-inside-payment-service,CPU,LinearReg,90.47,1.2273,-0.002,43413,2000,21384
TrainTicket,ts-inside-payment-service,CPU,GradBoost,66.22,1.2341,-0.013,43413,2000,21384
TrainTicket,ts-inside-payment-service,CPU,GaussianProcess,64.61,1.2353,-0.015,43413,2000,21384
TrainTicket,ts-inside-payment-service,CPU,SCM_Auto,90.47,1.2273,-0.002,43413,2000,21384
TrainTicket,ts-inside-payment-service,CPU,SCM_Deployed,90.47,1.2273,-0.002,43413,2000,21384
TrainTicket,ts-order-other-service,CPU,LinearReg,53.72,2.0863,-0.167,43401,2000,21378
TrainTicket,ts-order-other-service,CPU,GradBoost,45.32,1.9798,-0.051,43401,2000,21378
TrainTicket,ts-order-other-service,CPU,GaussianProcess,38.81,1.9567,-0.027,43401,2000,21378
TrainTicket,ts-order-other-service,CPU,SCM_Auto,32.7,2.3356,-0.463,43401,2000,21378
TrainTicket,ts-order-other-service,CPU,SCM_Deployed,53.72,2.0863,-0.167,43401,2000,21378
TrainTicket,ts-order-service,CPU,LinearReg,78.62,2.7292,-0.105,43405,2000,21379
TrainTicket,ts-order-service,CPU,GradBoost,50.9,2.5979,-0.001,43405,2000,21379
TrainTicket,ts-order-service,CPU,GaussianProcess,41.54,2.659,-0.049,43405,2000,21379
TrainTicket,ts-order-service,CPU,SCM_Auto,47.66,3.0945,-0.421,43405,2000,21379
TrainTicket,ts-order-service,CPU,SCM_Deployed,78.62,2.7292,-0.105,43405,2000,21379
TrainTicket,ts-payment-service,CPU,LinearReg,79.26,0.3755,-0.005,43388,2000,21371
TrainTicket,ts-payment-service,CPU,GradBoost,52.08,0.3848,-0.055,43388,2000,21371
TrainTicket,ts-payment-service,CPU,GaussianProcess,47.91,0.3966,-0.121,43388,2000,21371
TrainTicket,ts-payment-service,CPU,SCM_Auto,52.08,0.3848,-0.055,43388,2000,21371
TrainTicket,ts-payment-service,CPU,SCM_Deployed,79.26,0.3755,-0.005,43388,2000,21371
TrainTicket,ts-preserve-other-service,CPU,LinearReg,104.23,0.5185,0.038,39020,2000,19220
TrainTicket,ts-preserve-other-service,CPU,GradBoost,72.77,0.5404,-0.044,39020,2000,19220
TrainTicket,ts-preserve-other-service,CPU,GaussianProcess,67.72,0.5615,-0.128,39020,2000,19220
TrainTicket,ts-preserve-other-service,CPU,SCM_Auto,72.77,0.5404,-0.044,39020,2000,19220
TrainTicket,ts-preserve-other-service,CPU,SCM_Deployed,104.23,0.5185,0.038,39020,2000,19220
TrainTicket,ts-preserve-service,CPU,LinearReg,110.36,0.6147,-0.078,39004,2000,19211
TrainTicket,ts-preserve-service,CPU,GradBoost,72.54,0.5965,-0.015,39004,2000,19211
TrainTicket,ts-preserve-service,CPU,GaussianProcess,68.32,0.6123,-0.07,39004,2000,19211
TrainTicket,ts-preserve-service,CPU,SCM_Auto,72.54,0.5965,-0.015,39004,2000,19211
TrainTicket,ts-preserve-service,CPU,SCM_Deployed,110.36,0.6147,-0.078,39004,2000,19211
TrainTicket,ts-price-service,CPU,LinearReg,90.8,1.586,-0.037,43412,2000,21383
TrainTicket,ts-price-service,CPU,GradBoost,62.37,1.5618,-0.006,43412,2000,21383
TrainTicket,ts-price-service,CPU,GaussianProcess,55.71,1.5748,-0.023,43412,2000,21383
TrainTicket,ts-price-service,CPU,SCM_Auto,47.47,1.6239,-0.088,43412,2000,21383
TrainTicket,ts-price-service,CPU,SCM_Deployed,90.8,1.586,-0.037,43412,2000,21383
TrainTicket,ts-route-service,CPU,LinearReg,42.73,2.8269,-0.246,43411,2000,21382
TrainTicket,ts-route-service,CPU,GradBoost,33.36,2.6271,-0.076,43411,2000,21382
TrainTicket,ts-route-service,CPU,GaussianProcess,53.29,3.183,-0.58,43411,2000,21382
TrainTicket,ts-route-service,CPU,SCM_Auto,26.9,2.5529,-0.016,43411,2000,21382
TrainTicket,ts-route-service,CPU,SCM_Deployed,42.73,2.8269,-0.246,43411,2000,21382
TrainTicket,ts-seat-service,CPU,LinearReg,56.12,2.4274,-0.186,39067,2000,19243
TrainTicket,ts-seat-service,CPU,GradBoost,40.22,2.2521,-0.021,39067,2000,19243
TrainTicket,ts-seat-service,CPU,GaussianProcess,27.45,2.2452,-0.015,39067,2000,19243
TrainTicket,ts-seat-service,CPU,SCM_Auto,26.99,2.3457,-0.107,39067,2000,19243
TrainTicket,ts-seat-service,CPU,SCM_Deployed,56.12,2.4274,-0.186,39067,2000,19243
TrainTicket,ts-security-service,CPU,LinearReg,74.94,0.5402,-0.003,39051,2000,19235
