service,metric,mode,n_train,shuffled,n_test,model,skill,r2_signal,lambda
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,indist,30,False,18,NNLS_deployed,0.5267605258496617,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,indist,30,False,18,LinearReg,0.5267597367515267,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,indist,30,False,18,Queueing,0.5036527639444408,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,indist,30,False,18,GradBoost,-0.07954855386343151,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,indist,30,False,18,ElasticityPrior,0.27299261538175623,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,indist,30,False,18,ElasticityPooled,0.5155357551835043,0.4922917565188914,0.846452096785874
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,constant,0.0,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,persistence,0.6415127537645533,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,NNLS_deployed,0.7781024761394145,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,LinearReg,0.7781023100118956,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,Queueing,0.7781025176712943,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,GradBoost,0.6220401542507126,0.4922917565188914,
0401c52911cd4cda20d4038c0f127028fc94afaae5ee74bd279feaac94a265b4,cpu,ood,30,False,20,ElasticityPrior,0.41480771569252484,0.4922917565188914,
