set,cell,model,R*_pred,node_nghen,do_duoc_lo,hi,sai_so_%,phan_loai
dev (kiem tra khong hoi quy),recsx2,P3 (k do duoc),83.2,front-end,100.0,120.0,-16.8,SOM (an toan)
dev (kiem tra khong hoi quy),recsx2,P3+chain,83.2,front-end,100.0,120.0,-16.8,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",reviewx1,P1 (k=1),187.8,front-end,180.0,200.0,4.4,TRONG khoang
"khoa (k~1 do duoc, ky vong khong doi)",reviewx1,"P2 (c,x; k=1)",176.0,front-end,180.0,200.0,-2.2,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",reviewx1,P3 (k do duoc),176.0,front-end,180.0,200.0,-2.2,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",reviewx1,P3+chain,176.0,front-end,180.0,200.0,-2.2,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",reviewx2,P1 (k=1),172.2,front-end,150.0,170.0,14.8,MUON (kha thi gia)
"khoa (k~1 do duoc, ky vong khong doi)",reviewx2,"P2 (c,x; k=1)",153.4,front-end,150.0,170.0,2.2,TRONG khoang
"khoa (k~1 do duoc, ky vong khong doi)",reviewx2,P3 (k do duoc),153.4,front-end,150.0,170.0,2.2,TRONG khoang
"khoa (k~1 do duoc, ky vong khong doi)",reviewx2,P3+chain,153.4,front-end,150.0,170.0,2.2,TRONG khoang
"khoa (k~1 do duoc, ky vong khong doi)",trackx1,P1 (k=1),179.7,front-end,170.0,190.0,5.7,TRONG khoang
"khoa (k~1 do duoc, ky vong khong doi)",trackx1,"P2 (c,x; k=1)",163.9,front-end,170.0,190.0,-3.6,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",trackx1,P3 (k do duoc),163.9,front-end,170.0,190.0,-3.6,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",trackx1,P3+chain,163.9,front-end,170.0,190.0,-3.6,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",trackx2,P1 (k=1),158.9,front-end,140.0,160.0,13.5,TRONG khoang
"khoa (k~1 do duoc, ky vong khong doi)",trackx2,"P2 (c,x; k=1)",135.8,front-end,140.0,160.0,-3.0,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",trackx2,P3 (k do duoc),135.8,front-end,140.0,160.0,-3.0,SOM (an toan)
"khoa (k~1 do duoc, ky vong khong doi)",trackx2,P3+chain,135.8,front-end,140.0,160.0,-3.0,SOM (an toan)
